name,lat,lon,open,close,type,province
หมู่บ้านแม่กำปอง,18.8655073,99.3509846,7:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ศูนย์สถาปัตยกรรมล้านนา คุ้มเจ้าบุรีรัตน์ มหาอินทร์,18.7879488,98.988302,9:00,12:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
เล็ทส์ รีแลกซ์ วัน นิมมาน เชียงใหม่,18.799337,98.967331,10:00,12:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ดิ โอเอซิสสปา ลานนา,18.7872785,98.9823119,10:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ลีลานวดไท ท่าแพ,18.7877555,98.9924697,10:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ลีลานวดไท เจดีย์หลวง,18.7874416,98.9881324,10:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
โอเอซิสสปา แอท นิมมาน,18.7982572,98.9682141,10:00,24:00:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ระรินจินดา เวลเนส สปา รีสอร์ท เชียงใหม่,18.7898564,99.0044074,2:00,12:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ศิรา สปา,18.790507,98.992866,10:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ฟ้าล้านนาสปา,18.7957892,98.9669377,12:00,21:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ลานนาคำ สปา เชียงใหม่,18.7809163,98.990026,10:00,20:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ชีวา สปา,13.7592658,100.4982878,10:00,18:30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ศูนย์การค้าเซ็นทรัล เชียงใหม่,18.8062111,99.0180226,10:00,21:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
เชียงใหม่ เซลาดอน,18.8402169,99.1343879,8:00,17:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
อุทยานแห่งชาติออบขาน,18.7230703,98.8215666,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เขื่อนบ้านลาน(อ่างเก็บน้ำแม่มาว),19.9852778,99.0980556,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ต้นฉำฉา (จามจุรี),19.20307188,99.12958503,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
อุทยานดาราศาสตร์สิรินธร,18.8529249,98.9576277,9:00,16:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ล่องห่วงยางลำน้ำแจ่ม  ,18.2226415,98.481617,8:30,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ลำน้ำมาว,19.9689625,99.1047344,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สวนส้มปรีชาฝาง,20.0388066,99.3023484,9:00,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สวนร้อยใจรักษ์,20.0644269,99.4672676,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Dream Space Gallery,18.773755,98.9770736,8:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
La Luna Gallery,18.8057431,99.0055788,10:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
สวนพฤกษศาสตร์ทวีชล,18.857584,99.098232,8:30,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เขื่อนแม่งัดสมบูรณ์ชล กรมชลประธาน,19.1741473,99.0307178,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยป่าคา,19.9202221,99.0681668,7:30,18:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยหัวหมู,18.8366963,98.889302,6:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
อ่างเก็บน้ำห้วยมะนาว,18.6415711,98.7777214,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สวนสาธารณะอบจ.เชียงใหม่,18.8319013,98.9673334,6:00,24:00:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ชมรมส่งเสริมการท่องเที่ยวโดยชุมชนบ้านไร่กองขิง,18.726438,98.909813,8:00,20:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
พิพิธภัณฑ์พระตำหนักดาราภิรมย์,18.912813,98.942188,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ศูนย์การเรียนรู้ภูมิปัญญาไทย ไตลื้อบ้านใบบุญ,18.883313,99.123812,8:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
เชียงใหม่ไนท์ซาฟารี,18.742312,98.917313,11:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
เอเลเฟ่น พูพูเปเปอร์ พาร์ค,18.925438,98.931562,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
พิพิธภัณฑ์เรือนโบราณล้านนา สำนักส่งเสริมศิลปวัฒนธรรมและล้านนาสร้างสรรค์ มหาวิทยาลัยเชียงใหม่,18.792187,98.961813,8:30,16:30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ขุนแปะ,18.3117417,98.4798464,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยแม่โถ,18.249651,98.2046864,6:00,24:00:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยม่อนเงาะ,19.1802641,98.7680098,6:00,24:00:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เมืองคอง,19.3827266,98.7260927,8:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ป่าบงเปียง,18.539696,98.4431682,7:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
อุทยานแห่งชาติออบหลวง,18.2226415,98.481617,6:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
พระตําหนักภูพิงค์ราชนิเวศน์,18.8053,98.9004512,8:00,16:30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
วัดผาลาด,18.7993968,98.9341468,6:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
อ่างเก็บน้ำห้วยลาน ,18.70204027,99.19896886,6:00,24:00:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
 จุดชมวิวม่อนสน,19.8622928,99.051809,8:00,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ไร่ชาลุงเดช,19.205949,98.7948903,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
I love flower Farm ,18.8977721,98.9806351,8:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
วัดกองกาน,18.5477616,98.3529683,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ดอยม่อนหมาก,18.46119243,98.34950299,8:00,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
 น้ำตกสิริภูมิ ,18.5471959,98.5121858,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ถนนอุโมงค์ต้นไม้เชียงดาว,19.3839853,98.9392826,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ศูนย์พัฒนาโครงการหลวงวัดจันทร์ ,19.0682208,98.2919367,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ผาช่อ ,18.5176671,98.7370972,8:30,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยม่อนอังเกตุ ,19.0683564,98.6407655,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยอ่างขาง,19.8697222,99.055,8:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
จุดชมวิวดอยกิ่วลม,19.3138177,98.6041721,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ห้วยกุ๊บกั๊บ,19.2421081,98.830858,6:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
แกรนด์แคนยอน วอเตอร์ปาร์ค เชียงใหม่,18.6959737,98.8919586,9:00,19:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
