name,lat,lon,province,category
โป่งแยง จังเกิ้ล โคสเตอร์ ซิปไลน์,18.91687418,98.82156118,Chiang Mai,Activity
วัน นิมมาน,18.80013194,98.96831149,Chiang Mai,Activity
ไร่สตรอเบอร์รี่ไผ่สีทอง ,18.8617191,98.7063446,Chiang Mai,Activity
วัน นิมมาน ,18.80012234,98.96831396,Chiang Mai,Activity
กาดบ้านฮ่อ,18.7858314,99.0013198,Chiang Mai,Activity
ศูนย์โอท็อปเชียงใหม่ ณ ข่วงสันกำแพง,18.7451777,99.1195708,Chiang Mai,Activity
โครงการทิงค์พาร์ค,18.8012266,98.9675538,Chiang Mai,Activity
สมอลล์ ฟาร์ม เชียงใหม่,18.4787439,98.6668183,Chiang Mai,Activity
ถนนคนเดินสันกำแพง,18.7413413,99.1239571,Chiang Mai,Activity
กาดเกรียงไกรมาหามิตร,18.910563,98.9469836,Chiang Mai,Activity
ถนนคนเดินท่าแพ,18.7879254,98.9913463,Chiang Mai,Activity
ตลาดวโรรส,18.7898494,99.0009964,Chiang Mai,Activity
สวนสัตว์เชียงใหม่ ,18.8105616,98.9479418,Chiang Mai,Activity
สวนสนแม่แตง,19.1513472,98.9480582,Chiang Mai,Activity
สวนป่าแม่แจ่ม,18.3076276,98.36313165,Chiang Mai,Activity
ทุ่งข้าวสาลี ทุ่งข้าวบาเล่ย์,18.84649259,98.76921441,Chiang Mai,Activity
สวนป่าแม่แจ่ม ,18.3074952,98.3631102,Chiang Mai,Activity
โป่งแยง จังเกิล โคสเตอร์ แอนด์ แอดเวนเจอร์ พาร์ค,18.91683585,98.82152998,Chiang Mai,Activity
โครงการอนุรักษ์พันธุ์กล้วยไม้รองเท้านารีเชียงใหม่,18.5848692,98.5124401,Chiang Mai,Activity
สวนอีเดน,18.9291114,98.8237224,Chiang Mai,Activity
คุ้มเสือแม่ริม,18.8353839,98.9638802,Chiang Mai,Activity
ไอแมค เอทีวี ทัวร์,18.920399,98.918667,Chiang Mai,Activity
วิชิต สตูดิโอ,18.7606524,99.1418162,Chiang Mai,Activity
ศูนย์ฝึกช้างเชียงดาว,19.2474717,98.9693093,Chiang Mai,Activity
ศูนย์พัฒนาโครงการหลวงแม่แฮ,18.7906036,98.538002,Chiang Mai,Activity
ไฟล์ท ออฟ เดอะ กิบบอน,18.8653001,99.3485027,Chiang Mai,Activity
ศูนย์วิจัยเกษตรหลวงเชียงใหม่ ,18.6125,98.775,Chiang Mai,Activity
เวียงปันนา,18.7958012,99.0004832,Chiang Mai,Activity
ทุ่งข้าวสาลี ศูนย์วิจัยข้าวสะเมิง,18.8464723,98.7692466,Chiang Mai,Activity
ธุดงคสถานล้านนาเชียงใหม่,18.9117474,99.0121874,Chiang Mai,Activity
บอลลูน แอดเวนเจอร์ ไทยแลนด์ เชียงใหม่,18.8571525,99.101006,Chiang Mai,Activity
เชียงใหม่ ซู อควาเรียม ,18.7729848,98.9502445,Chiang Mai,Activity
วัน นิมมาน,18.8001106,98.9683099,Chiang Mai,Activity
กาดฝรั่ง วิลเลจ ,18.7017479,98.9317999,Chiang Mai,Activity
ไร่ชาลุงเดช ,19.2059871,98.7949829,Chiang Mai,Activity
ปางเปาบีช ,19.0773501,98.9090084,Chiang Mai,Activity
เก๊าไม้ล้านนา,18.5663508,98.8742317,Chiang Mai,Activity
กาดงัว (ตลาดนัดทุ่งฟ้าบด),18.6021982,98.8895857,Chiang Mai,Activity
กาเนชา คาเฟ่ & ฟาร์ม เชียงใหม่,18.6179554,98.8811001,Chiang Mai,Activity
สวนส้มโจลี,18.7773687,98.8381655,Chiang Mai,Activity
แดนเทวดา,19.1231868,98.9421174,Chiang Mai,Activity
ฮิมน้ำแม่จะ,18.8763298,98.7980787,Chiang Mai,Activity
จังเกิล โคสเตอร์ ,18.91684029,98.82152998,Chiang Mai,Activity
สถานีเกษตรหลวงอินทนนท์,18.5425277,98.5195059,Chiang Mai,Activity
เมญ่า ไลฟ์สไตล์ ช้อปปิ้ง เซ็นเตอร์ ,18.8022477,98.9672611,Chiang Mai,Activity
ปางช้างแม่สา ,18.9235044,98.9091313,Chiang Mai,Activity
ศูนย์ฝึกลิง,18.91835,98.9116133,Chiang Mai,Activity
ศูนย์พัฒนาโครงการหลวงแม่โถ,18.2537507,98.191665,Chiang Mai,Activity
ศูนย์พัฒนาโครงการหลวงตีนตก,18.8668753,99.3224453,Chiang Mai,Activity
ศูนย์พัฒนาโครงการหลวงวัดจันทร์,19.0682208,98.2919367,Chiang Mai,Activity
ไร่ช้างขาว  ,19.551945,98.649661,Chiang Mai,Activity
ศูนย์ศึกษาการพัฒนาห้วยฮ่องไคร้ อันเนื่องมาจากพระราชดำริ ,18.9091733,99.2166636,Chiang Mai,Activity
โครงการหลวงห้วยลึก,19.5313159,99.0548811,Chiang Mai,Activity
สวนส้ม ไทย อโกร แพลนเทค ,20.033333,99.3,Chiang Mai,Activity
สวนกล้วยไม้และฟาร์มผีเสื้อ,18.9187388,98.9341763,Chiang Mai,Activity
ถนนนิมมานเหมินทร์,18.7958248,98.9658116,Chiang Mai,Activity
พันธุ์ทิพย์ ไลฟ์สไตล์ ฮับ   เชียงใหม่,18.7818592,98.9998144,Chiang Mai,Activity
ลิตเติ้ลโซล,18.7382478,98.9342048,Chiang Mai,Activity
เฮง สเตชั่น,18.7788259,99.0163849,Chiang Mai,Activity
เนเจอร์ ทอล์ค,18.8880609,98.9780889,Chiang Mai,Activity
