name,lat,lon,province
Gallery Drip Coffee Chiang Mai,18.7902126,98.986684,Chiang Mai
Pegasus Café & Roastery,18.7852092,98.9872138,Chiang Mai
Nap’s Coffee Roaster CNX,18.7895957,98.9850092,Chiang Mai
CoolMuang Coffee,18.788462,98.993074,Chiang Mai
Omnia Cafe & Roastery,18.8135376,98.9737113,Chiang Mai
Cafe de Oasis,18.8248767,98.9596363,Chiang Mai
เฟิร์นฟอเรสต์คาเฟ่,18.7933635,98.982022,Chiang Mai
Groon,18.7951686,98.9710687,Chiang Mai
HappyBlue Coffee - the neighborhood cafe,18.7878,98.9831089,Chiang Mai
Bear Hug Cafe',18.7828996,98.9933469,Chiang Mai
Into the Woods,18.794815,98.9867468,Chiang Mai
A Day In Chiang Mai Coffee Brew,18.7765833,98.9962672,Chiang Mai
Caramellow Cafe,18.768318,98.9809659,Chiang Mai
Yelloo,18.8002307,98.9671508,Chiang Mai
millilit cafe,18.7882506,98.996133,Chiang Mai
Brewginning Coffee,18.7902932,98.9948088,Chiang Mai
ฅนจร คอฟฟี สโลว์บาร์,18.8106197,98.9473303,Chiang Mai
คอฟฟี่วอฟ,18.7794248,98.9940815,Chiang Mai
จักรพรรดิ อารมณ์ดี Coffee,18.7808409,98.9910649,Chiang Mai
Smile Lanna Coffee & สมายล์ ล้านนา คอฟฟี่,18.7810191,98.9801825,Chiang Mai
เออร์ลี่ อาวส์,18.8058614,98.9890292,Chiang Mai
Cozy Cafe Chiangmai,18.7791245,98.9884903,Chiang Mai
Transit Number 8,18.7871157,98.9602837,Chiang Mai
MARS,18.7915527,98.9785545,Chiang Mai
Bart Coffee,18.7922714,98.9910184,Chiang Mai
Zohng Coffee,18.7895676,98.9828084,Chiang Mai
เดอะซิมคาเฟ่,18.7723886,98.9795533,Chiang Mai
Taste Cafe,18.7951532,98.9630932,Chiang Mai
BOOK THIEF CAFÉ,18.8023105,98.9791275,Chiang Mai
Versailles de Flore,18.7954085,98.9791834,Chiang Mai
กาแฟอาข่า อ่ามา พระสิงห์,18.7883705,98.9831919,Chiang Mai
Again.cafe,18.7896142,98.9879296,Chiang Mai
Mitte Mitte - Cafe & Brunch,18.79225,98.9957904,Chiang Mai
PARADOX-coffee x bar-เชียงใหม่,18.7812952,98.9772413,Chiang Mai
Ministry of Roasters-Chiang Mai กระทรวงการคั่ว เขตเชียงใหม่,18.7897446,98.9961516,Chiang Mai
Yuk coffee ร้านกาแฟ เชียงใหม่,18.7507664,98.9417154,Chiang Mai
Once in a Blue Moon Cafe & Hostel,18.7945343,98.9929957,Chiang Mai
เกรนคาเฟ่,18.7725897,98.951858,Chiang Mai
KAME KAFE (คาเมะคาเฟ่) - ถนนสนามกีฬา,18.8002682,98.9877975,Chiang Mai
Thaan Aoan,18.7855709,98.9884105,Chiang Mai
Coffee Lovers,18.785654,98.983179,Chiang Mai
คุ้มคาเฟ่,18.7880125,98.9883393,Chiang Mai
Maled Coffee Roasters : โรงคั่วเมล็ด,18.7897041,98.9624077,Chiang Mai
Vigie Sist Cafe,18.7921796,98.990205,Chiang Mai
มากาด,18.7904434,99.0001918,Chiang Mai
SEVEN • SLASH • TWO,18.7905593,98.9821199,Chiang Mai
Chapter 2WO,18.7883663,99.000899,Chiang Mai
ฟ้าธาราคอฟฟี่,18.7930081,98.9863589,Chiang Mai
Weekday Coffee&Bar,18.7850472,98.9820916,Chiang Mai
CHEF COFFEE,18.7881571,98.9862054,Chiang Mai
Improvise Coffee ll,18.7906221,98.9898996,Chiang Mai
.Werb Haus,18.7886623,98.9796092,Chiang Mai
Happy Monday coffee,18.7883342,98.9867792,Chiang Mai
Konjohn coffee 2,18.7857369,98.9856917,Chiang Mai
Barneo Dessert Bar (ชีสเค้กพี่หมี),18.7939865,98.982606,Chiang Mai
ORB Cafe and Meal,18.7901762,99.0088756,Chiang Mai
Ombra Caffe,18.7990411,98.9742855,Chiang Mai
NAREE Coffee De' Klangwiang สถานฝึกวิชาชีพทัณฑสถานหญิงเชียงใหม่,18.7904636,98.9859528,Chiang Mai
Golden Bee Shop & Coffee น้ำผึ้ง เชียงใหม่,18.7908617,98.9862883,Chiang Mai
SELF,18.785188,99.0030357,Chiang Mai
Mountain Coffee by Noi,18.7910339,98.9914816,Chiang Mai
ศรีมอย คาเฟ่,18.7934083,98.9904454,Chiang Mai
W8 x viangpha cafe,18.7902529,98.994155,Chiang Mai
กาแฟริช,18.7951957,98.9889435,Chiang Mai
Tymeslowbar,18.7896356,98.9877257,Chiang Mai
Kum Jan Cafe and Thai Dessert,18.7945009,98.9816776,Chiang Mai
Mix Kaffee,18.7909113,98.9785009,Chiang Mai
OldHouse Cafe,18.7862544,98.9848602,Chiang Mai
THREE NAKHANIK,18.7775492,98.9809526,Chiang Mai
ratchadumnern coffee,18.7882206,98.9853469,Chiang Mai
Durianism Cafe’ Phra Singh Chiang Mai ทุเรียนคาเฟ่พร้อมเสิร์ฟ 365 วัน,18.788379,98.9828216,Chiang Mai
Bloomin' Moon hostel & cafe Chiang Mai,18.7830701,98.981625,Chiang Mai
Cat Brothers Cafe,18.7950831,98.9913158,Chiang Mai
มาโกโคโระ ทีเฮาส์ (มีใจให้มัทฉะ),18.7812758,99.0012297,Chiang Mai
ให้กาแฟพูด,18.7904572,98.990083,Chiang Mai
Eternity Coffee Thapae,18.788132,98.9966537,Chiang Mai
ชมคาเฟ่,18.7484954,98.9455152,Chiang Mai
Breakfast & Brunch For Healthy Cha-Malay Cafe bistro @ Chiangmai old town,18.7820938,98.9875787,Chiang Mai
MINI STORY CAFE,18.7894709,98.976079,Chiang Mai
Deep green,18.7859318,98.9817682,Chiang Mai
Shongcafe Chiang Mai,18.7875282,98.9816428,Chiang Mai
BRB Cafe,18.7816954,98.9812491,Chiang Mai
ร้านกาแฟ สมนึกโกปี๊,18.7900038,99.0002055,Chiang Mai
Eleven Pillar Site Chiangmai,18.7891503,98.9872936,Chiang Mai
Around Town Coffee,18.7890802,98.9784745,Chiang Mai
Aob-Sook brunch & pastry cafe,18.7891976,98.9953914,Chiang Mai
Coffee Bar Thapae,18.7875375,98.9960318,Chiang Mai
The Story 106 Co-Working Space &Cafe,18.7883948,98.9985611,Chiang Mai
