name,lat,lon,capacity,power_kw,type,district,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz แม่แตง,19.082187,98.936188,2,180,DC,แม่แตง,,,
HKH Residence แม่ริม,18.908938,98.904313,2,50,DC,แม่ริม,,,
สถานีชาร์จ PEA VOLTA แม่ริม,18.901313,98.949938,1,43,AC,แม่ริม,,,
สถานีชาร์จ PEA VOLTA แม่ริม,18.901313,98.949938,3,50,DC,แม่ริม,,,
สถานีชาร์จ ev station pluz แม่ริม,18.921563,98.940438,2,120,DC,แม่ริม,,,
สถานีชาร์จ ev station pluz แม่ริม,18.921563,98.940438,1,22,AC,แม่ริม,,,
สถานีชาร์จ Evolt จอมทอง,18.450812,98.740688,2,150,DC,จอมทอง,,,
สถานีชาร์จ Smile จอมทอง,18.415937,98.677437,2,22,AC,จอมทอง,,,
สถานีชาร์จ Altervim จอมทอง,18.429437,98.681562,2,60,DC,จอมทอง,,,
สถานีชาร์จ Altervim จอมทอง,18.429437,98.681562,1,3,AC,จอมทอง,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz จอมทอง,18.435938,98.687813,2,120,DC,จอมทอง,,,
สถานีชาร์จ PEA VOLTA ดอยสะเก็ด,18.873438,99.133813,1,43,AC,ดอยสะเก็ด,,,
สถานีชาร์จ PEA VOLTA ดอยสะเก็ด,18.873438,99.133813,4,50,DC,ดอยสะเก็ด,,, 
สถานีชาร์จ Evolt สันทราย,18.852562,99.090812,2,150,DC,สันทราย,,,
สถานีชาร์จ Tony+Patrick ดอยสะเก็ด,18.882062,99.149187,1,50,DC,ดอยสะเก็ด,,,
 Denza Dynasty Chiangmai อ.เมืองเชียงใหม่,18.768062,98.982062,4,120,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ ev station pluz น้ำแพร่-หางดง,18.671438,98.888063,2,120,DC,หางดง,,,
สถานีชาร์จ ev station pluz หจก.พนาพนธ์เชียงใหม่ หางดง,18.694313,98.926063,2,120,DC,หางดง,,,
สถานีชาร์จ ev station pluz หจก.พนาพนธ์เชียงใหม่ หางดง,18.694313,98.926063,1,22,AC,หางดง,,,
สถานีชาร์จ ev station pluz สันผักหวาน หางดง,18.72003,98.97457,1,22,AC,หางดง,,,
สถานีชาร์จ ev station pluz สันผักหวาน หางดง,18.72003,98.97457,2,120,DC,หางดง,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz เชียงใหม่-แอร์พอร์ต 2,18.730936,98.9514136,2,120,DC,เมืองเชียงใหม่,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz บิ๊กซี หางดง1,18.74383,98.96182,2,120,DC,หางดง,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz บิ๊กซี หางดง1,18.74383,98.96182,1,22,AC,หางดง,,,
สถานีชาร์จ PEA VOLTA บางจาก 1 หนองป่าครั่ง อำเภอเมือง,18.791611,99.024278,1,43,AC,เมืองเชียงใหม่,,,
สถานีชาร์จ PEA VOLTA บางจาก 1 หนองป่าครั่ง อำเภอเมือง,18.791611,99.024278,1,50,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ PEA VOLTA บางจาก 2 หนองป่าครั่ง อำเภอเมือง,18.79175,99.024194,2,50,DC,เมืองเชียงใหม่,,,
