name,lat,lon,open,close,province
มีอันจะกิน,18.761988,99.001615,10:00,0:00,Chiang Mai
ร้านอาหาร สามเสนวิลล่า ริมปิง,18.7942151,99.0008869,11:00,23:00,Chiang Mai
เขยเจียงใหม่ - อาหารเหนือ (ร้านอาหารเชียงใหม่),18.8004791,98.9782729,11:00,22:00,Chiang Mai
แกงร้อนบ้านสวน,18.8210124,98.9616793,10:00,22:00,Chiang Mai
ท่าข้าม (อาหารพื้นเมืองเชียงใหม่),18.7461954,98.9533388,11:00,22:00,Chiang Mai
ร้านครัวฉลองเชียงใหม่,18.8292261,98.9784442,10:00,14:00,Chiang Mai
ร้านครัวฉลองเชียงใหม่,18.8292261,98.9784442,16:30,21:00,Chiang Mai
ร้านต๋องเหนือ / Tongnuea,18.7681571,98.9842006,11:00,22:00,Chiang Mai
ร้านอาหาร บ้านแม่,18.8037903,98.9724298,11:00,22:00,Chiang Mai
ร้านอาหาร คำดารา comedara,18.7930324,99.0009582,11:00,22:00,Chiang Mai
ข้าวโซอิ,18.8091471,99.0047617,9:00,20:00,Chiang Mai
เฮือนม่วนใจ๋,18.7998592,98.9756064,11:00,15:00,Chiang Mai
เฮือนม่วนใจ๋,18.7998592,98.9756064,17:00,21:00,Chiang Mai
Malao Malao มล่าวเมลา ร้านอาหารไทยโบราณ,18.747141,98.9852197,11:00,22:00,Chiang Mai
ร้าน ช.โภชนา,18.7951232,98.9907924,7:00,15:00,Chiang Mai
The View Bar Chiangmai,18.8224725,99.0136504,17:00,0:00,Chiang Mai
ยอดอร่อย,18.765841,99.0003122,10:00,21:00,Chiang Mai
เลิศรสใต้ร่มมะเฟือง,18.8079891,99.0029861,12:00,14:00,Chiang Mai
เลิศรสใต้ร่มมะเฟือง,18.8079891,99.0029861,17:00,21:00,Chiang Mai
Meteor restaurant 流星雨餐厅 ร้านอาหารดาวตก,18.7587949,98.9435474,10:00,0:00,Chiang Mai
ร้านข้าวซอยแม่สาย,18.7995989,98.9752135,8:00,16:00,Chiang Mai
Mitte Mitte - Cafe & Brunch,18.79225,98.9957904,8:30,15:30,Chiang Mai
ปักษ์ใต้พัทลุง,18.8116033,98.9634275,9:00,16:00,Chiang Mai
ครัวบุญรอด เชียงใหม่ BOONRAWD Kitchen,18.7933237,98.9970313,10:00,17:00,Chiang Mai
คุ้มเวียงยอง,18.7711139,98.9499084,11:00,21:00,Chiang Mai
สวนอาหารบ้านริมน้ำเชียงใหม่,18.7618161,99.0000474,11:00,0:00,Chiang Mai
ปกรณ์คิชเช่น,18.7780004,98.9958465,14:00,22:00,Chiang Mai
ปกรณ์คิชเช่น,18.7780004,98.9958465,17:00,22:00,Chiang Mai
เทอเรสซีฟู๊ด เชียงใหม่,18.7611311,98.9980178,17:00,23:00,Chiang Mai
ร้านอาหารเฮือนเพ็ญ,18.7858228,98.9851475,8:30,16:30,Chiang Mai
ร้านอาหารเฮือนเพ็ญ,18.7858228,98.9851475,17:00,22:00,Chiang Mai
ป้าก Parc Thai Eatery,18.7688031,98.9810305,11:00,23:00,Chiang Mai
ร้านอาหารเขยญวน,18.7753142,98.9855603,11:00,13:30,Chiang Mai
ร้านอาหารเขยญวน,18.7753142,98.9855603,17:00,22:00,Chiang Mai
ครัวจันทบูร,18.7839298,98.9781875,17:00,23:00,Chiang Mai
ร้านอาหาร สวนผัก,18.7702026,98.973986,10:00,19:30,Chiang Mai
ร้านอาหารหน้าบ้าน อาหารพื้นเมือง,18.8211532,98.970062,7:30,16:30,Chiang Mai
เต๋อตำยำระเบิด,18.8109803,98.9804341,11:30,23:00,Chiang Mai
ข้าวเม่า-ข้าวฟ่าง ป่าในจินตนาการ,18.729942,98.9435826,11:00,15:00,Chiang Mai
ข้าวเม่า-ข้าวฟ่าง ป่าในจินตนาการ,18.729942,98.9435826,17:00,21:00,Chiang Mai
Lemongrass Thai Cuisine,18.7839508,99.0011292,9:00,0:00,Chiang Mai
ร้านข้าวต้มพุ้ย ราชาอาหารตามสั่ง,18.7951646,98.9903574,15:00,0:00,Chiang Mai
ร้านเมิงระมิงค์ (Mueng Raming restaurant),18.7911995,99.0087384,11:00,19:30,Chiang Mai
Tam Leung Restaurant,18.7879296,98.9824768,10:00,23:00,Chiang Mai
โบ๊ต เบเกอรี่,18.806829,98.9571062,7:00,19:30,Chiang Mai
Krua Dabb Lob,18.7882689,98.9856537,10:00,21:00,Chiang Mai
เชียงใหม่ เรือนแพ 2,18.8371753,99.0004988,9:30,23:00,Chiang Mai
ร้านอาหารตามสั่งพี่อ้อม,18.793893,98.9846816,8:30,22:00,Chiang Mai
ธนาโอชา,18.7909831,98.9983424,8:00,17:00,Chiang Mai
สมหวัง โภชนา,18.784194,99.0225044,9:00,23:00,Chiang Mai
ครัวทิพรส สะพานรัตนโกสินทร์,18.8005543,99.0017889,17:00,21:30,Chiang Mai
ร้านป้าเหรียญ,18.8102472,98.959711,10:00,19:00,Chiang Mai
Northlands Restaurant,18.7927636,98.9928215,6:40,21:00,Chiang Mai
SomPetch Kitchen - Local Thai food Chiang Mai,18.7914856,98.9933217,8:00,22:00,Chiang Mai
Chada Vegetarian Restaurant Chiang Mai,18.7998448,98.9675472,9:00,20:00,Chiang Mai
ร้าน ป้าหล้า ริมปิง,18.792085,99.0014968,17:00,0:00,Chiang Mai
ร้านอาหารเช้าเชียงใหม่ (เสน่หา),18.7889119,98.9879614,8:30,13:00,Chiang Mai
ข้าวต้มนายดำ 2,18.789765,98.9641407,17:30,3:00,Chiang Mai
บ้านลันได ฟายน์ไทย ควิซีน,18.7940281,98.9874588,11:00,14:30,Chiang Mai
บ้านลันได ฟายน์ไทย ควิซีน,18.7940281,98.9874588,17:00,20:30,Chiang Mai
ร้านAtขัวเหล็ก,18.7832949,99.0052214,10:00,22:30,Chiang Mai
ร้านอาหารขวัญข้าว@เชียงใหม่,18.7828242,99.0416898,11:30,0:00,Chiang Mai
ร้านอาหารอร่อยจริงจริง-好好吃,18.8037461,98.9199432,7:00,17:30,Chiang Mai
ภูเก็ตซีฟู้ด จ.เชียงใหม่ 普吉海鲜 餐厅(清迈) 游泳活海鲜 Phuket Seafood Restaurant (Chiang Mai),18.8225457,98.9647509,11:00,23:00,Chiang Mai
เธียอาโก๋,18.8244187,99.0093768,11:00,21:00,Chiang Mai
โจ๊กต้นพยอม,18.7902888,98.9622648,6:00,12:00,Chiang Mai
ร้านข้าวซอยเป็นเส้น,18.8043143,98.9687981,7:30,15:30,Chiang Mai
ปลาหม้อหิน เชียงใหม่,18.8112538,98.97797,11:00,22:00,Chiang Mai
สุกี้ช้างเผือก,18.795817,98.9853308,17:30,0:00,Chiang Mai
ร้านหลังสวน ชวนชิม @ เชียงใหม่,18.7927638,99.0177602,10:00,20:00,Chiang Mai
ครัวศิลปาชีพ,18.8107125,98.9504124,8:30,17:00,Chiang Mai
ไข่กระทะเลิศรส เชียงใหม่ สาขา2,18.7894474,98.9671205,6:30,13:30,Chiang Mai
สะเปาคำ,18.7491417,98.9442819,11:00,0:00,Chiang Mai
ก๊วยจั๊บช้างม่อย ตัดใหม่,18.7899138,98.9987926,10:00,15:00,Chiang Mai
ร้านอาหารบ้านถั่ว,18.7477481,98.9409546,11:00,21:00,Chiang Mai
เป๋าตุงลุงเชฟ,18.7407705,98.9659914,11:00,20:00,Chiang Mai
ลำดีตี้ขัวแดง,18.7984565,99.0331509,10:30,21:00,Chiang Mai
กินดีอาหารเมือง,18.7901602,99.0006401,4:00,0:00,Chiang Mai
Kubkhaw Naibaan กับข้าวในบ้าน,18.784245,98.997364,12:00,19:00,Chiang Mai
The Service 1921 Restaurant & Bar,18.7815271,99.0042074,12:00,22:30,Chiang Mai
วีระลาบเป็ด เชียงใหม่,18.8178867,98.9767428,11:00,14:30,Chiang Mai
วีระลาบเป็ด เชียงใหม่,18.8178867,98.9767428,17:00,21:00,Chiang Mai
ก๋องคำ อาหารพื้นเมืองแม่ริม,18.9100007,98.9510357,9:00,21:00,Chiang Mai
ร้านอาหารทับริมธาร,18.8991603,98.8652572,8:00,18:00,Chiang Mai
ไม้เฮือน 60,18.9391643,98.9431324,7:30,17:00,Chiang Mai
ร้านอาหารริมน้ำแม่อร,18.8998246,98.8675952,8:00,18:00,Chiang Mai
น้ำเหนือนั่งเล่น,18.8989407,98.8636855,8:00,17:00,Chiang Mai
N THRÉE,18.9195114,98.9316291,11:00,15:00,Chiang Mai
N THRÉE,18.9195114,98.9316291,17:00,20:00,Chiang Mai
ร้านอาหารโป่งแยง แอ่งดอย,18.8982297,98.8542932,11:00,20:00,Chiang Mai
ร้านแซ่บบัก8แสน แม่ริมเชียงใหม่,18.9406971,98.9430079,10:30,21:30,Chiang Mai
กรูฟยาร์ด เชียงใหม่ แม่ริม,18.9118003,98.9321535,11:00,22:00,Chiang Mai
Chic2465 Cafe and Restaurant,18.887817,98.9793753,10:00,21:00,Chiang Mai
ก่องข้าวเมือง,18.9117649,98.9556363,10:00,21:00,Chiang Mai
ร้านเหนือรสแซบ,18.9103439,98.9062565,8:00,17:00,Chiang Mai
เฮือนลุงเสือ แม่ริม,18.9171131,98.9094357,8:00,17:00,Chiang Mai
สวนอาหารไม้หมอน,18.9113193,98.9546578,10:00,23:00,Chiang Mai
ร้านอาหารโป่งแยงภิรมย์ (Pong Yang View Point Restuarant),18.8864819,98.8242399,8:00,17:00,Chiang Mai
ริเวอร์ร็อคคาเฟ่ฮิลล์,18.9001094,98.8702259,9:00,18:00,Chiang Mai
See Paak Restaurant,18.9215362,98.9417868,16:00,22:00,Chiang Mai
ร้านอาหารแฮปปี้เดย์,18.9086784,98.9477877,10:00,0:00,Chiang Mai
ร้านอาหารริมน้ำคูน-หนุน,18.8998503,98.86762,0:00,24:00:00,Chiang Mai
ร้านครัวป้าศรี Pa Sri Kitchen The Original Thai Northern Food (กับข้าวเมืองเหนือ 100% ตำนานกว่า 30 ปี),18.9082549,98.9073476,9:00,17:00,Chiang Mai
ร้านครัวสมบูรณ์,18.8896047,98.8310641,8:00,15:00,Chiang Mai
ม่วนใจ๋ในสวน(อาหารเหนือ)&91coffee,18.8671288,98.9702297,8:00,17:00,Chiang Mai
ริมนารา คาเฟ่ แอนด์ บริสโทร,18.9085786,98.9066595,8:00,18:00,Chiang Mai
ร้านอาหารกอเซี้ยม,18.9166173,98.9433203,8:00,16:30,Chiang Mai
ร้านลาบน้อยแขม,18.9887593,98.9457966,0:00,24:00:00,Chiang Mai
ร้านเก้าเก้า 99 โจ๊ก ซาลาเปา แม่ริม,18.9221379,98.9392508,6:00,13:00,Chiang Mai
ครัวชนบท,18.9140379,98.9414581,0:00,24:00:00,Chiang Mai
สับรางคาเฟ่@แม่ริม,18.9007538,98.9503251,18:00,0:00,Chiang Mai
Mi⎟Zü by Onsen at Moncham,18.9254952,98.8228601,11:30,23:00,Chiang Mai
ร้านเขยม้ง,18.9344491,98.8224436,5:35,20:35,Chiang Mai
ร้านเฌอ,18.9161081,98.961907,9:00,20:00,Chiang Mai
ตาหมูคาเฟ่ อาหารป่า อ.แม่ริม,18.9470218,98.9435095,7:00,15:00,Chiang Mai
ร้านข้าวซอยรสลำ,18.9171471,98.9095961,8:00,18:00,Chiang Mai
เฮือนแสงคำ แม่ริม,18.9133952,98.9730607,9:30,17:00,Chiang Mai
ร้านแสงจันทร์,18.9463291,98.9437858,12:00,23:00,Chiang Mai
ร้านแสงจันทร์,18.9463291,98.9437858,17:00,22:00,Chiang Mai
คุ้มแสงดาว,18.8857123,98.9571292,7:00,19:00,Chiang Mai
แม่ริมพลาซ่า,18.9156966,98.9427564,6:00,23:00,Chiang Mai
ร้านสมหมายลาบไก่,19.016872,98.9437405,9:09,18:18,Chiang Mai
ไอนาราคาเฟ่,18.8781372,98.8226656,9:00,18:00,Chiang Mai
Rim Ta Ra at Mae Rim- ริมธารา แม่ริม,18.9005381,98.8845539,9:00,20:00,Chiang Mai
ร้านอาหารญี่ปุ่น โอซาก้า,18.9185264,98.9430572,16:00,22:00,Chiang Mai
ร้านอาหารสวนเอมออน,18.9086823,98.9479001,9:00,24:00:00,Chiang Mai
ร้านเก๊าบะขาม - @Tamarind,18.8805745,98.9803766,7:00,15:00,Chiang Mai
เค้ก คอตเทจ Cake Cottage,18.8840168,98.9583652,9:00,15:00,Chiang Mai
ฮิมน้ำลำธาร,18.9001594,98.8714798,9:00,18:00,Chiang Mai
เฮือนลูกหลาน,18.9169506,98.9433318,9:00,17:00,Chiang Mai
DOUGH,18.9000795,98.8716225,10:00,21:00,Chiang Mai
Gaysorn Cafe&Restaurant Chiangmai,18.9013448,98.9765326,10:00,20:00,Chiang Mai
ร้านต้นน้ำปลาเผา,18.8998848,98.8690585,10:00,18:30,Chiang Mai
ร้านตุ๋นอร่อย,18.8880592,98.9767863,7:00,17:00,Chiang Mai
ครัวสวนเสธ Suan Seh Kitchen,18.8886955,98.9793056,11:00,21:00,Chiang Mai
งอน เวียดนาม,18.9022089,98.9491232,8:30,21:30,Chiang Mai
Bualoy restaurant ข้าวซอย บ้านบัวลอย,18.8960129,98.9522748,9:00,14:00,Chiang Mai
น้ำแซ่บ ส้มตำ สเต็ก69,18.9048949,98.9485868,10:00,21:00,Chiang Mai
ออน เดอะ เวย์ ลาภเก๊าสนน์,18.8425796,98.9814913,11:00,0:00,Chiang Mai
ร้านเพื่อน @สะลวง,19.0127715,98.9446581,17:00,0:00,Chiang Mai
ดวงดีอาหารตามสั่ง,18.8675359,98.9716409,9:00,17:00,Chiang Mai
ครัวคุณ​จิ๊บ​(แม่ริม)​,18.9167143,98.9633901,8:00,19:00,Chiang Mai
ไก่ย่างวิเชียรบุรี(พิชัย)อ.แม่ริม จ.เชียงใหม่,18.8861248,98.9568101,9:00,17:00,Chiang Mai
ณัฐ-ณิชา,18.9508819,98.9441909,8:00,17:00,Chiang Mai
เรือนตาอู๋,18.9471375,98.9441753,7:30,19:00,Chiang Mai
หลังบ้านริมน้ำ,18.9112533,98.9206453,10:00,22:00,Chiang Mai
ร้านอาหารปักษ์ใต้,18.8445085,98.9726376,7:00,16:00,Chiang Mai
หนมเส้นเก๊าขามแม่ริม,18.9377118,98.9431618,8:00,19:00,Chiang Mai
บ้านข้าวซอย แม่ริม เชียงใหม่ : Khao Soi Maerim House Chiangmai,18.9150156,98.9060045,9:00,18:00,Chiang Mai
ครัววาสนา,18.9774871,98.9450008,9:00,17:00,Chiang Mai
ร้านก๋วยเตี๋ยวเนื้อวัว รสเด็ด อำเภอแม่ริม จังหวัดเชียงใหม่,18.9123574,98.9461769,7:00,18:00,Chiang Mai
HopsTime,18.8435235,98.985029,16:30,0:00,Chiang Mai
Kruabanchan ครัวบ้านฉัน,18.8863921,98.8217856,14:00,11:45,Chiang Mai
ครัวร่มโพธิ์,18.9101672,98.9179179,9:00,15:30,Chiang Mai
ร้านเต๋มปุ๋ม,18.8933247,98.836406,9:00,16:00,Chiang Mai
นวลจันทร์ลาบขม,18.9046614,98.948233,9:00,21:00,Chiang Mai
ชุ่ม (อาหารพื้นเมือง),18.7229563,99.0082869,10:00,21:00,Chiang Mai
เเด๊ดดีไลอ้อน เชียงใหม่,18.7377593,98.9903454,11:00,22:00,Chiang Mai
Good morning saraphi,18.7104353,99.040417,6:30,14:00,Chiang Mai
ร้านอาหาร เฮือนสลุงคำ อ.สารภี จ.เชียงใหม่,18.671138,99.0377966,10:00,20:00,Chiang Mai
ข้าวซอยคุณหญิง,18.6929126,99.0466891,10:00,17:00,Chiang Mai
ร้านอาหารยอดแซ่บ,18.6913714,99.0491753,10:00,21:00,Chiang Mai
ตำเลยเถิด ณ เชียงใหม่ (สารภี),18.7157448,99.0378025,10:00,20:00,Chiang Mai
ตำโตก The original สารภี,18.703927,99.0405489,11:00,20:00,Chiang Mai
ร้าน บ้านลาภสารภี,18.6937342,99.0456812,9:00,21:00,Chiang Mai
เนโกะเอม่อนคาเฟ่ เชียงใหม่,18.7140443,99.0596242,9:00,18:00,Chiang Mai
ผัดไทยเจ้วันดี เจ้าสารภี,18.7297036,99.0227199,7:00,17:00,Chiang Mai
สุดแซ่บเชียงใหม่,18.759239,99.0464323,10:30,21:00,Chiang Mai
แป๊ะเบี้ยว ข้าวขาหมูหมั่นโถว สารภี เชียงใหม่,18.7111695,99.0328109,11:00,18:00,Chiang Mai
ร้านป้าตุ๊ ลาบ หลู้,18.7316345,99.0296493,10:00,22:00,Chiang Mai
ก่อการดี เชียงใหม่,18.7407171,99.0142911,9:00,20:00,Chiang Mai
ร้านตำติดปาก4แยกกองทราย สารภี,18.7280822,99.0241245,11:00,20:00,Chiang Mai
ร้านขาหมูซุปเปอร์,18.7440324,98.9933402,7:00,20:30,Chiang Mai
สมุทรสาครเย็นตาโฟ ยางเนิ้ง สารภี,18.7124337,99.0366465,10:00,20:30,Chiang Mai
บ้านแยมโรล,18.7220458,99.0264582,8:30,18:00,Chiang Mai
No.18 coffee tea dessert,18.7202621,99.0271949,10:00,23:30,Chiang Mai
No.18 coffee tea dessert,18.7202621,99.0271949,12:00,17:00,Chiang Mai
Afro Cafe & Restaurant,18.7009873,99.0421813,9:00,19:00,Chiang Mai
ยําปูม้าเจ็ดยอด สาขาสารภี (ร้านใหม่),18.7426176,99.0140677,10:00,21:00,Chiang Mai
Latte & Leaf,18.7120536,99.0451199,8:00,16:00,Chiang Mai
ถึงพริกถึงขิง สารภี,18.7100625,99.0404375,7:00,20:00,Chiang Mai
ร้านอาหาร กินข้าวกัน,18.6866652,98.9979658,9:00,20:00,Chiang Mai
BANGNA​ HOUSE,18.7098126,99.0303793,9:30,19:00,Chiang Mai
เจ็ต้อม กะเพรานก,18.7159153,99.0321596,7:00,14:00,Chiang Mai
No18 Cafe & Restaurant - ต้นยาง,18.7202415,99.0271528,16:00,0:00,Chiang Mai
ร้านเลียบยางคาเฟ่,18.6964338,99.0441284,10:00,21:00,Chiang Mai
กะเพราแท้ (ตรงข้ามโตโยต้าอินทนนท์),18.7608221,99.0433047,9:00,22:00,Chiang Mai
