name,lat,lon,province
โรงแรมเชียงใหม่ออคิด,18.7968231,98.9753703,Chiang Mai
โรงแรมเชียงใหม่ฮิลล์,18.803983,98.9620638,Chiang Mai
อาร์ทู โฮเทล เชียงใหม่,18.7877924,98.9598551,Chiang Mai
Premier Hostel Chiang Mai,18.795871,98.9843476,Chiang Mai
โรงแรมเซ็นทารา ริเวอร์ไซด์ เชียงใหม่,18.7661385,99.0048216,Chiang Mai
โรงแรมดวงตะวันเชียงใหม่,18.7837381,98.9991495,Chiang Mai
โรงแรมบีทู คำเที่ยง บูติค แอนด์ บัดเจท,18.8113485,98.996709,Chiang Mai
B2 Resort Boutique & Budget Hotel,18.8462451,98.9939219,Chiang Mai
โรงแรมวัดเกต เชียงใหม่,18.7921327,99.0086764,Chiang Mai
White Boutique Hotel and Spa,18.7797836,98.9942612,Chiang Mai
ศรีภูมิ เฮอริเอทจ บูทีค เชียงใหม่,18.7962818,98.9931246,Chiang Mai
โรงแรมเทรเวลลอดจ์ นิมมาน,18.7966672,98.961934,Chiang Mai
โรงแรมบีทู สันติธรรม (วัดเจ็ดยอด) บูติค แอนด์ บัดเจท,18.8089171,98.9790222,Chiang Mai
B2 Mahidol Boutique & Budget Hotel,18.7594743,99.0170339,Chiang Mai
SHIN Hotel Nimman ChiangMai,18.8026924,98.9658465,Chiang Mai
โรงแรมโรมีน่า แกรนด์,18.7804449,98.9878027,Chiang Mai
โรงแรม ไฮ เชียงใหม่,18.7993777,98.9746464,Chiang Mai
Budget Stars Hotel,18.7837812,98.9961001,Chiang Mai
99 The Gallery Hotel,18.7893776,98.982981,Chiang Mai
Jira Boutique Residence,18.7769009,99.0041964,Chiang Mai
CH Hotel,18.7820268,99.0021015,Chiang Mai
B2 Santitham Boutique & Budget Hotel,18.8041608,98.9734457,Chiang Mai
Mad Monkey Chiang Mai,18.7851562,98.9975313,Chiang Mai
สลีพซีเอ็นเอ็กซ์ Sleep CNX,18.7780944,98.9573547,Chiang Mai
Ed Hostel Chiang Mai,18.7885495,98.9926289,Chiang Mai
โรงแรมเชียงใหม่ เอส.พี.,18.8081665,98.9767761,Chiang Mai
The Wing Boutique Hotel Chaing Mai,18.7847107,98.9821811,Chiang Mai
We Briza Chiang Mai Hotel,18.798706,98.9994027,Chiang Mai
Sunny V Hotel Chiang Mai,18.7683825,99.0057252,Chiang Mai
De Charme Hotel Chiang Mai,18.790628,98.982448,Chiang Mai
Chiangmai Udee (เชียงใหม่อยู่ดี),18.807326,98.965374,Chiang Mai
ศิริปันนา วิลล่า รีสอร์ท แอนด์ สปา เชียงใหม่,18.7736935,99.0151146,Chiang Mai
Locals Prio ChiangMai Central Airport Plaza,18.7679308,98.9778423,Chiang Mai
เดอะคอมมอน,18.79351,98.98204,Chiang Mai
WE Terminal Hotel,18.7686772,98.9790408,Chiang Mai
B2 Nimman Premier Hotel,18.7955657,98.9714793,Chiang Mai
HONG's Sky Bar,18.7829112,98.9980102,Chiang Mai
โรงแรม วิลล่า ลานธารา เชียงใหม่,18.781528,98.9907385,Chiang Mai
โรงแรม อโมร่า ท่าแพ เชียงใหม่,18.7894839,98.9937517,Chiang Mai
โรงแรมพุดซ้อน เชียงใหม่,18.8002888,98.9593865,Chiang Mai
North Inn Town,18.8060366,98.9940701,Chiang Mai
Thapae60 Mini Hotel (ท่าแพซิกตี้),18.7873769,98.9971337,Chiang Mai
The Best One Chiangmai,18.7670703,98.9758359,Chiang Mai
The Core Gallery Hotel,18.8075247,98.9571231,Chiang Mai
H Hotel Phrasing,18.784459,98.982012,Chiang Mai
Styles Stay,19.2847773,97.9585036,Chiang Mai
Friend House,19.3002014,97.9672821,Chiang Mai
ปายแบมบูฮัท,19.2879936,98.4672017,Chiang Mai
เพ็ญพรเฮ้าส์,19.300562,97.963964,Chiang Mai
อนาวินรีสอร์ท,19.2549566,97.9692176,Chiang Mai
เดอ เอิง บูติค,18.4581873,98.7748452,Chiang Mai
สมายโฮม SMILE HOME,18.4244725,98.6808687,Chiang Mai
แอทชฎา เชียงใหม่,18.4501014,98.6746958,Chiang Mai
แสนดีเพลส เมาเท่นวิว Sandee Place Mountain View Hotel,18.4140857,98.6727579,Chiang Mai
