name,lat,lon,province
Otis Café,18.356437,99.545563,Lampang
Mixirista Lampang,18.268563,99.467187,Lampang
TIN’N,18.284312,99.494062,Lampang
Wooden House Cafe',18.292813,99.501188,Lampang
Repeat Café,18.279812,99.479438,Lampang
Kin Cafe' Lampang,18.288438,99.504688,Lampang
ณ หิรัญ คาเฟ่ (Na Hiran Cafe),18.283687,99.504312,Lampang
Himwang Café,18.246938,99.439437,Lampang
Dezato Cafe,18.284562,99.496562,Lampang
อาร์มแชร์ คาเฟ่,18.291562,99.508062,Lampang
โก๋กาแฟ [ Go+ Cafe' Lampang ],18.283563,99.484313,Lampang
ก๋างต้ง (Kang-Tong cafe),18.091563,99.331688,Lampang
มาหามิตร (MAHAMITr),18.249688,99.447187,Lampang
Crispy Donut Lampang,18.286938,99.478062,Lampang
Lakon Paris Thailand,18.286938,99.478062,Lampang
Tomorrow cafe & Bistro lampang,18.289187,99.489187,Lampang
Our Hours cafe,18.295563,99.490562,Lampang
FLASH CUP,18.295437,99.493437,Lampang
Ginger house Matcha,18.295687,99.493437,Lampang
Switch on black cocoa สาขาลำปาง,18.293312,99.494812,Lampang
ILY KAFE & LOCAL EATERY อิลลิ คาเฟ่,18.292938,99.497312,Lampang
Little Little home,18.294562,99.498812,Lampang
papacraft,18.290687,99.495688,Lampang
Before Café,18.288063,99.497938,Lampang
Let’s Roll : Tokyo and friends,18.285688,99.500062,Lampang
Hope and grinds,18.285562,99.500687,Lampang
Take a Taste,18.284312,99.501812,Lampang
Koen cafe,18.284438,99.507188,Lampang
New Today Station Cafe&Breakfast,18.292687,99.507563,Lampang
Mixirista Retro,18.278312,99.498937,Lampang
BAN SUAN Home&Garden,18.168312,99.461187,Lampang
Nap’s Coffee Roaster Lampang,18.279313,99.481063,Lampang
Full Flavor Coffee Bar,18.288063,99.495563,Lampang
ฟีก้า คาเฟ่,18.258938,99.476687,Lampang
Bliss & Blossom Lampang,18.295813,99.504937,Lampang
Biscuit Cafe Lampang,18.232813,99.389688,Lampang
Asana Cafe,18.217688,99.456187,Lampang
Vieng (เวียง),18.286938,99.478062,Lampang
Memphis Cafe,18.279438,99.480063,Lampang
เค้กไข่ ฮอกไกโด คาเฟ่ by Koko' House,18.293062,99.488563,Lampang
THE BUFF,18.281813,99.459688,Lampang
ถ่อมกายคาเฟ่,18.178063,99.393937,Lampang
PUN SPACE cafe’ ปันสเปซ,18.219938,99.395813,Lampang
View Wang 'café วิววัง คาเฟ่,18.112063,99.348062,Lampang
Sawasdee cafe'&bistro by ruenpae,18.288688,99.514062,Lampang
Him Coffee Roasters Cafe Lampang,18.283812,99.475813,Lampang
Yim cafe dessert bar,18.295063,99.507063,Lampang
Harvest Moon Cafe',18.512437,99.475437,Lampang
keeps.cafe.roastery,18.278813,99.479187,Lampang
Archie Cafe,18.288688,99.492812,Lampang
House of Jeanne - จันน์,18.326813,99.525188,Lampang
Cafe’ de ARIYA,18.327562,99.390563,Lampang
Horse 'Tage Coffee,18.32875,99.37125,Lampang
ร้านกาแฟบ้านคุณย่า,18.321312,99.331688,Lampang
บ้านสวนพอดี,18.337688,99.360687,Lampang
คุณนายตื่นสายคาเฟ่,18.302188,99.388937,Lampang
Farmer Cafe,18.302188,99.388937,Lampang
55 COFFEE TOWN,17.639938,99.238687,Lampang
have a nice Drip,17.646437,99.217062,Lampang
Huen-Hug Cafe เฮือนฮัก คาเฟ่,17.385688,99.394937,Lampang
The Coffee Tree,17.385688,99.394937,Lampang
รัก ณ ลำปาง,17.75875,99.24125,Lampang
Wild coffee Thoen,17.640437,99.234688,Lampang
Hitokuchi Café & Roasted,17.632688,99.237313,Lampang
ร้านกาแฟฮ่อมดอย,17.486187,99.349937,Lampang
Lalinn cafe,17.606063,99.221187,Lampang
ถ่อมกายคาเฟ่,18.178063,99.393937,Lampang
ก๋างต้ง Kang-Tong Cafe,18.091563,99.331688,Lampang
หลืบคาเฟ่ Crape and Coffee,18.214062,99.412937,Lampang
Biscuit Cafe Lampang,18.232813,99.389688,Lampang
เฮือนน้ำใส,18.17375,99.39125,Lampang
Log In Cafe,18.204437,99.389938,Lampang
Kyori.koji,18.20125,99.40875,Lampang
CoCo Coffee,18.14625,99.39875,Lampang
Vvoody café,18.158437,99.540437,Lampang
ถิ่นไทยคอฟฟี่,18.10875,99.63375,Lampang
BAN SUAN Home&Garden,18.168312,99.461187,Lampang
มอกกิ๋นได้,18.140687,99.437938,Lampang
ต้นทาง คาเฟ่,18.125937,99.624562,Lampang
Chillax @ดอยพระณาน,18.138813,99.472562,Lampang
มองดอย คาเฟ่,18.064312,99.493313,Lampang
Hug Cup,18.153312,99.533312,Lampang
สุขใจ เบเกอรี่ & คอฟฟี่,18.129562,99.509187,Lampang
ลื่นคาเฟ่,18.049813,99.237813,Lampang
ดงกาแฟ,18.015437,99.201688,Lampang
Tanwa Cafe,18.265313,99.657938,Lampang
DOF cafe- Degree of freedom,18.285688,99.654062,Lampang
ในฝัน คาเฟ่,18.270812,99.664563,Lampang
82 Cafe,18.265437,99.644813,Lampang
ห่มฟ้าคาเฟ่(Homfa Cafe)ฮิมตาง,18.717062,99.584563,Lampang
AK-KA-RA Coffee & Craft Night.,18.734687,99.578812,Lampang
กิ่วชิวดอย คาเฟ่,18.866687,99.556562,Lampang
คาเฟ่ เดอ ปาน,18.618563,99.481562,Lampang
ร้านกาแฟกรีนเมาส์เทนคาเฟ่&ช็อป,18.828063,99.495438,Lampang
บ้านสวนกฤษณะ,18.616687,99.474688,Lampang
Grandfa Farm Cafe & Restaurant,18.762062,99.996313,Lampang
RAISE COFFEE PLACE,18.751688,99.982563,Lampang
Tone.coffee(โทน),19.144062,99.626188,Lampang
Take care Coffee,19.142313,99.629562,Lampang
ดิว คอฟฟี่,19.147813,99.619687,Lampang
Analog Coffee & Beer,17.445687,99.126562,Lampang
แชร์กาฟง Coffee Haus,17.448062,99.116187,Lampang
