name,province,lat,lon,type,kw,capacity
PEA VOLTA คาลเท็กซ์ สบปราบ,Lampang,17.907312,99.342187,DC,120,2
PEA VOLTA บางจาก สบปราบ #2,Lampang,17.902313,99.340812,DC,50,2
PEA VOLTA บางจาก ห้างฉัตร #2,Lampang,18.310688,99.389938,DC,50,2
The Coco Lampang (EleXA),Lampang,18.134563,99.391188,DC,60,2
บริษัท ทริปเปิล ที มอเตอร์ จำกัด (MG Thailand),Lampang,18.2538308,99.4568609,DC,120,2
บิ๊กซี ลำปาง (EV Station PluZ),Lampang,18.275688,99.482563,DC,120,2
พีทีที สเตชั่น บจ.ซีเอส 2018 ออยล์ (EV Station PluZ),Lampang,17.95375,99.35125,DC,120,2
พีทีที สเตชั่น บจ.ธ.1994 ปิโตรเลียม (EV Station PluZ) (ขาออก),Lampang,17.619813,99.233812,DC,120,2
พีทีที สเตชั่น บจ.ธ.1994 ปิโตรเลียม (ขาเข้า),Lampang,17.618563,99.234313,DC,120,2
พีทีที สเตชั่น บจ.สุขสำราญ ปิโตรเลียม (EV Station PluZ),Lampang,18.78477,99.96733,DC,120,2
พีทีที สเตชั่น หจก.กิจเสรีปิโตรเลียม (EV Station PluZ),Lampang,18.277062,99.483937,DC,120,2
พีทีที สเตชั่น หจก.ถาวรชัยลำปาง (EV Station PluZ),Lampang,18.280188,99.493437,DC,120,2
พีทีที สเตชั่น หจก.เกาะคาการปิโตรเลียม (EV Station PluZ),Lampang,17.95375,99.35125,DC,120,2
สถานีบริการน้ำมัน PT งาว (EleXA),Lampang,18.740563,99.974187,DC,150,2
สถานีบริการน้ำมัน PT ลำปาง (EleXA),Lampang,18.295563,99.415312,DC,368,2
สถานีบริการน้ำมัน PT ห้างฉัตร 2 (EleXA),Lampang,18.283313,99.380063,DC,360,2
สถานีบริการน้ำมัน PT เถิน (EleXA),Lampang,17.622563,99.237313,DC,125,2
สถานีบริการน้ำมัน PT เถิน 3 (EleXA),Lampang,17.617938,99.232313,DC,150,1
โลตัส ลำปาง (Altervim),Lampang,18.280188,99.493437,DC,120,2
The Coco Lampang (OneCharge),Lampang,18.134563,99.391188,AC,22,2
บิ๊กซี ลำปาง (EV Station PluZ),Lampang,18.275688,99.482563,AC,22,1
