name,lat,lon,open,close,province
ครัวชาติสมบูรณ์ ChatSomBoon,18.2906545,99.4832164,11:00,21:00,Lampang
ร้านอร่อยบาทเดียว,18.2897662,99.4960241,"	
16:00",23:00,Lampang
ครัวรันเวย์,18.2823791,99.5034408,"	
10:30",23:00,Lampang
ครัวมุกดา,18.2854797,99.5045178,"	
8:00",15:00,Lampang
Baan Phraya Suren by Madame Musur,18.2835098,99.4743368,"	
10:00",21:30,Lampang
เทพรส 66,18.2864676,99.4959429,"	
8:00",15:30,Lampang
ร้านอาหารเดอะริเวอร์ไซด์ The Riverside Restaurant Lampang,18.290736,99.493102,11:00,23:00,Lampang
ร้านโอชาวัฒนา,18.2800551,99.482948,"	
9:00",14:00,Lampang
ร้านซุปเปอร์แซ่บ แนวกินอีสาน,18.2817266,99.477113,"	
11:00",22:00,Lampang
ห้องอาหารลายคราม,18.2910103,99.5099996,9:30,14:00,Lampang
ห้องอาหารลายคราม,18.2910103,99.5099996,16:00,21:00,Lampang
กากี่นั้ง,18.2819343,99.4980984,"	
10:00",23:00,Lampang
ร้านอาหารไข่มุก,18.2799405,99.4745607,"	
17:00",23:00,Lampang
รสนานา,18.2863597,99.4959718,"	
7:00",16:00,Lampang
ข้าวมันไก่ทิพย์ช้าง,18.2908639,99.4917446,"	
5:50",14:00,Lampang
ไส้อั่วเผาเตาหลวงลำปาง,18.1781582,99.4091447,8:30,18:00,Lampang
โก๋กาแฟ [ Go+ Cafe' Lampang by Preda Roasting House],18.2836199,99.4843525,8:00,17:00,Lampang
Himwang Cafe,18.2469034,99.4394911,"	
10:00",17:00,Lampang
ร้านอาหารบ้านริมน้ำ,18.2907357,99.4931587,"	
11:00",22:00,Lampang
"ร้าน เดอะ ฮังเล อาหารเหนือ,อาหารเมือง",18.29213,99.5171101,"	
11:00",23:00,Lampang
Home At Lampang,18.2846048,99.4942132,"	
11:00",22:00,Lampang
ข้าวซอยอิสลามลำปางหนา สาขาสะพานรัษฎา,18.2947631,99.4997804,10:00,14:30,Lampang
ร้านอาหารอีสาน กลิ่นร่ำ,18.2941593,99.4972276,10:00,21:00,Lampang
ร้านอาหารพรนารายณ์,18.2917384,99.5079753,"	
7:30",15:30,Lampang
Dreamer Lampang,18.2871498,99.4886656,"	
11:00",21:00,Lampang
กวนอิมเวจจี้ เมืองลำปาง,18.2906175,99.4916735,"	
6:00",15:00,Lampang
Kin cafe' Lampang,18.2884914,99.5047146,"	
11:00",21:00,Lampang
Chaipochana ชัยโภชนา,18.2789612,99.4771259,10:00,18:00,Lampang
ร้านส้มตำยายขันรถไฟ,18.2814861,99.4695433,10:00,15:00,Lampang
ร้านข้าวซอยซุปเปอร์,18.2811335,99.4985198,"	
9:00",15:00,Lampang
ข้าวซอยอิสลามลำปางหนา สาขาลำปางไนท์บาซ่า,18.289609,99.484137,10:00,15:00,Lampang
สวนอาหารสระลอยเรือนแพลำปาง,18.2889337,99.5137016,"	
9:30",22:00,Lampang
ร้านฮั้วเลิศรส ลำปาง,18.2889192,99.491703,"	
8:00",14:00,Lampang
ร้านข้าวต้มแสนสุข ลำปาง,18.2745767,99.4981486,"	
16:00",0:00,Lampang
ร้านรสหนึ่ง,18.2877862,99.4933717,"	
6:30",14:00,Lampang
ครัวใหม่ริมคลอง(ร้านครัวใหม่),18.2623823,99.507655,11:00,0:00,Lampang
ราดหน้าซุปเปอร์,18.2659682,99.4651381,"	
9:00",14:00,Lampang
ราดหน้าซุปเปอร์,18.2659682,99.4651381,16:00,21:30,Lampang
ครัวยกครก ลำปาง,18.2952609,99.4906917,"	
10:30",19:00,Lampang
ร้านอาหารโกยี,18.2820453,99.4701309,"	
4:30",21:50,Lampang
ร้านอาหารริมน้ำลำปาง,18.3051104,99.5096687,"	
11:00",22:00,Lampang
ร้านอาหารจานทอง,18.2874035,99.4939326,"	
4:30",13:30,Lampang
ร้านอาหารอ. อู๊ด,18.2834892,99.5128174,"	
11:00",22:00,Lampang
ร้านนุ่นอาหารพื้นเมือง,18.2594988,99.4739641,9:00,18:00,Lampang
ร้านกินข้าว กินปลา By ลำปางปลาสด,18.2898997,99.5162357,"	
11:00",0:00,Lampang
ร้านอาหาร บ้านเพลงเก่า ลำปาง,18.289828,99.4946633,11:00,23:00,Lampang
ก้องกี - บะหมี่เกี๊ยวเป็ดย่างฮ่องกง,18.2885077,99.4954815,"	
5:30",14:00,Lampang
ร้านอาหารบ้านคำออน Baan Kum-On Restaurant Lampang,18.2941618,99.5089717,"	
11:00",22:00,Lampang
Good's Bar Lampang,18.2848984,99.4766305,"	
17:00",0:00,Lampang
ร้านเฝอ อาหารสไตล์เวียดนาม อีสาน,18.2844201,99.4860994,11:00,21:00,Lampang
ร้านบัวตอง,18.3018633,99.5065788,9:00,22:00,Lampang
ร้านฮอมครัวเมือง,17.6089395,99.2182914,"	
11:00",21:00,Lampang
มองวัง ลำปาง,18.2908438,99.4927323,"	
17:00",0:00,Lampang
ตำขอนแก่น สาขาลำปาง Tum KhonKaen,18.3018312,99.483009,"	
10:30",16:30,Lampang
มานะ MANA,18.2874799,99.493531,"	
6:00",15:00,Lampang
ต๋าปิ้นโหล่ว สุกี้ฮ่องกง-เสฉวน,18.2832622,99.4916356,"	
16:00",22:00,Lampang
ร้านอาหารเมธาเฮ้าส์,18.2914248,99.484852,"	
11:00",0:00,Lampang
ร้านเจ๊ผัดลาบไม้เก่า ลำปาง,18.2838903,99.4740433,"	
7:30",15:00,Lampang
