name,lat,lon,province
โรงแรมเดอะสเปซ ลำปาง,18.2857948,99.4859575,Lampang
โรงแรมเดอะ โคโคนัท ลำปาง,18.2745477,99.5119567,Lampang
Puangpech Hotel (พวงเพชรโฮเทล),18.2917113,99.5107283,Lampang
B2 Lampang City Boutique & Budget Hotel,18.2790366,99.4891664,Lampang
The Riverside Guest House,18.2906214,99.4942884,Lampang
โรงแรมบ้านแม่บุญทอง,18.290004,99.4996141,Lampang
Regent Lodge Lampang Hotel,18.2914242,99.5120265,Lampang
ริมปาน - Rimpanหรือริมปานค๊อฟฟี่,18.6242624,99.4863358,Lampang
เอเซียลำปางโฮเต็ล,18.2885306,99.4948272,Lampang
พอปัน รีสอร์ท,18.2177189,99.4562226,Lampang
The Zenery Hotel,18.2765262,99.4852077,Lampang
โรงแรมดิเอเรียแอค The Areaac Hotel,18.3055219,99.3973431,Lampang
Lampang River Lodge Hotel ที่พักลำปาง รีสอร์ท,18.2276575,99.4263026,Lampang
Kanyanat Boutique Hotel โรงแรม kanyanat,18.2843442,99.5043889,Lampang
โรงแรมนิตตา Nitta Hotel,18.3097052,99.3887488,Lampang
รีสอร์ตไร่ปิงวัง,18.4185985,99.4476801,Lampang
ต้นไผ่รีสอร์ทลำปาง ถนนสายเลี่ยงเมืองลำปาง,18.250996,99.500439,Lampang
Fong Lee CC,18.2905156,99.4962691,Lampang
เวียงฟ้าอพาร์ทเม้นท์รายเดือน,18.2887022,99.4846797,Lampang
เรือนแก้ว บูทีค รีสอร์ท,18.406291,99.4339343,Lampang
เฮือนดอกแก้วเกสท์เฮ้าส์ ลำปาง,18.2905095,99.495173,Lampang
ข้าวหอม residence,18.2858974,99.5047468,Lampang
Vieng Kaew Residence,18.2818564,99.492674,Lampang
บ้านดีรีสอร์ทลำปาง,18.2634711,99.4631445,Lampang
บจก. พิณโฮเต็ล,18.2891625,99.4953898,Lampang
le neuf nakorn lampang เลอเนิฟ เลิฟเน้อ นครลำปาง,18.2899274,99.4894992,Lampang
โรงแรมบุษย์น้ำทอง,18.2646866,99.4641818,Lampang
ลำปางเรสซิเดนซ์,18.2797489,99.4834929,Lampang
ณ บ้านแม่ รีสอร์ท,18.3045572,99.5253507,Lampang
Jitrawadee Hotel,18.2821339,99.492464,Lampang
TK Home,18.2883945,99.4955685,Lampang
โรงแรมลำปางโฮเต็ล,18.2875838,99.4956503,Lampang
Sotay Poshtel Lampang,18.3104011,99.5147809,Lampang
โรงแรมลักค์อินน์,18.3123432,99.449421,Lampang
แม่วัง รีสอร์ท,18.2447308,99.446939,Lampang
เอื้องคำ รีสอร์ท ลำปาง,18.2960624,99.5048138,Lampang
R-Lampang Guest House,18.2906174,99.4948328,Lampang
Terminal Hostel Lampang,18.2778571,99.4830197,Lampang
โรงแรมเขลางค์นคร,18.2881222,99.4953613,Lampang
Kanecha's Home Lampang (คเณชา โฮม ลำปาง),18.2935411,99.4989641,Lampang
Once in Lampang Guesthouse,18.2942226,99.5046218,Lampang
ขัวคาร์แคมป์,18.3141843,99.4420608,Lampang
Baan Phraya Suren by Madame Musur,18.283544,99.4743367,Lampang
Service Apartment Lampang,18.2950437,99.4943987,Lampang
ท่ามะโอ บูทีค โฮมสเตย์,18.2953882,99.51177,Lampang
ปางทิพย์,18.2841809,99.4943901,Lampang
มิสหลุยส์เกสเฮ้าท์,18.3042373,99.5187457,Lampang
บ้านพระยาสุเรนทรราชเสนา บ้านเก่า ลำปาง,18.2832228,99.4744494,Lampang
52 Private House,18.2785461,99.5000211,Lampang
Baan Mali Lampang Homestay,18.2518381,99.407259,Lampang
ปรางสิริโฮมเกสท์เฮาส์,18.2644132,99.5093654,Lampang
ส.ห้องพัก,18.3697805,99.5510153,Lampang
มาลัยเพลส,18.3064077,99.4704942,Lampang
บ้านกิจเสรี,18.2808055,99.4729995,Lampang
บ้านสวนยายชุ่มโฮมสเตย์,18.251725,99.4067616,Lampang
C2 Residence,18.2783645,99.4838279,Lampang
บ้านสวนรีสอร์ท,18.2013776,99.4056953,Lampang
โรงแรมลำปางเวียงทอง,18.2813196,99.4873226,Lampang
City2_lampang ซิตี้2ลำปาง,18.2920324,99.5027783,Lampang
Martin Place xs Hotel,18.3086374,99.5131242,Lampang
บ้านสุชาดา รีสอร์ท ลำปาง,18.3209918,99.4955054,Lampang
โรงแรมสิริ,18.2898979,99.5157643,Lampang
โรงแรมศรีสง่า (Sri Sangar Hotel ),18.2884499,99.4956194,Lampang
โรงแรม อินโดจีนลำปาง,18.2643943,99.4663306,Lampang
888hotel,18.26675,99.5093595,Lampang
Raipingwang Resort,18.4194125,99.4469504,Lampang
Good View Mansion,18.2911584,99.4834147,Lampang
โรงแรมป๊อปปี้อินน์,18.3061994,99.471389,Lampang
Baan Kumwan Boutique Hotel,18.2836794,99.4965972,Lampang
