name,lat,lon,province,category
ทาปันรักษ์,18.4481295,99.1347392,Lamphun,Activity
บ้านม้า ลำพูน,18.561639,99.0630592,Lamphun,Activity
ตลาดกลางสินค้าเกษตร ,18.549024,99.055303,Lamphun,Activity
สวนน้ำ สวนสนุก เดอะซัน,18.6095431,99.0895557,Lamphun,Activity
เดอะซันนิวเซ็นเตอร์ลำพูน,18.60953693,99.08957046,Lamphun,Activity
กาดขัวมุงลำพูน,18.669259,98.98527,Lamphun,Activity
ถนนคนเดินเมืองลำพูน,18.57780797,99.00927027,Lamphun,Activity
พี.ที.ฟาร์ม,18.5496438,98.976258,Lamphun,Activity
ตลาดบ้านทาดอยแก้ว หรือกาดแม่ทา,18.4622217,99.1757988,Lamphun,Activity
ศูนย์พัฒนาโครงการหลวงพระบาทห้วยต้ม,17.72967598,98.94293043,Lamphun,Activity
