name,lat,lon,province
แจ่งฮั้ว คาเฟ่,17.8015901,98.9479395,Lamphun
Me Cafe',17.806593,98.946506,Lamphun
ร้านต้นไม้coffee,17.8090756,98.9424361,Lamphun
Chimnom Cafe,17.7894131,98.9532423,Lamphun
Cafe De Lyn,17.8106248,98.9399172,Lamphun
Lomyen Cafe&Bar,17.7447667,99.0236934,Lamphun
ร้านกาแฟโฮมคัมมิ่ง,17.775348,98.9692228,Lamphun
นาตาน้อย คาเฟ่,17.8013904,98.9490251,Lamphun
ร้านกาแฟ คีตา ( KITA COFFEE ),17.7986865,98.9511664,Lamphun
B’Coffee,17.8024597,98.9491716,Lamphun
สอางทิพย์กาแฟ,17.8226899,98.9301041,Lamphun
Bike Coffee & Bakery,17.8675494,98.9264406,Lamphun
ฟิล์ม คาเฟ่ Film & Café,18.0199121,98.8843126,Lamphun
549 Resort & Cafe Lamphun,17.9725968,98.8811337,Lamphun
Chilling Café,18.0379179,98.8828828,Lamphun
Check นม cafe',18.0266715,98.8856308,Lamphun
ไม้เมือง กาแฟ,18.0401396,98.8823716,Lamphun
Twin Coffee Li,18.0201266,98.8838101,Lamphun
Krulao cafe',17.8099258,98.9582651,Lamphun
Coffee Frink,18.1029367,98.8931004,Lamphun
กาแฟบนดอย,17.7353034,98.9523647,Lamphun
วารี คาเฟ่ - Waree cafe' Li Lumphun,17.9580391,98.8964469,Lamphun
KMLand,17.7648997,98.8206288,Lamphun
Cha Aom coffee,17.7969112,98.947291,Lamphun
วังเวง คาเฟ่,17.9937681,98.8762439,Lamphun
บังเอิญเจอ coffee.by.dtng,17.7013371,99.0620569,Lamphun
Classic coffee shop,17.7761741,98.9707449,Lamphun
cixty coffee & น้ำปั่น,17.7350276,98.9490834,Lamphun
S.P Coffee,18.1128946,98.8915842,Lamphun
Cak coffee,17.7346129,98.9512178,Lamphun
4'Coffee Cup,17.7998925,98.9545424,Lamphun
ร้าน café s holiday กาแฟสด,17.7351723,98.9566704,Lamphun
WALIN 23 CAFE,17.8063713,98.9554371,Lamphun
พิชญ์พรีมคอฟฟี่,18.0891083,98.8934497,Lamphun
Kanok กนก,17.8285583,98.9826082,Lamphun
Wat 5 Duang Shop,18.135326,98.8756435,Lamphun
ณ.ลี้คอฟฟี่,17.706855,98.9799754,Lamphun
ร้านภูผาชากาแฟ,18.0200982,98.8844231,Lamphun
549 Cafe & Fram,17.8042442,98.9471039,Lamphun
โรงแรมฝันหวาน Funwan Hotel and Viennoiserie,17.8056278,98.9508537,Lamphun
Vegan Camp Thailand,17.7620309,98.9625703,Lamphun
Anchy Cafe (แอนชี่คาเฟ่),18.0470302,98.8806014,Lamphun
บ้านสวนกาแฟ...โชคทิพย์วรรณ,17.631925,98.8072049,Lamphun
ดอยก้อ คอฟฟี่,17.8386116,98.9282542,Lamphun
Natural Coffee,17.7654456,98.9873456,Lamphun
DOI LI CAFÉ - สวนลุงต้อย,18.0771452,98.8948147,Lamphun
ร้าน ภูกาแฟ (Pooh Coffee),18.204761,98.8412124,Lamphun
Pa'Ka Coffee,17.6999969,98.8649823,Lamphun
ดอยปู่วัน​ ฮิลล์​คาเฟ่,17.7993595,98.9465411,Lamphun
กาแฟกลางซอย,17.9518803,98.9022413,Lamphun
ภูตะวันคอฟฟี่,17.8054262,98.946244,Lamphun
กาแฟสด รถละมุน,17.7829605,98.9533063,Lamphun
Baan Pailyn Resort,17.9548318,98.902295,Lamphun
Garo cafe',17.79724,98.9516664,Lamphun
MoKapot coffee,17.7562171,98.822571,Lamphun
อินดอยกาแฟสด indoicoffee,17.6368988,98.7812352,Lamphun
Kor coffee house,17.825312,98.9305748,Lamphun
Loveli Coffee&bakery,17.8017149,98.9492886,Lamphun
ร้าน24/7,17.730632,98.9605899,Lamphun
ชาทีเฌอ คาเฟ่,17.7931267,99.0199182,Lamphun
ร้านน้ำบนดอย,17.8813411,98.9296537,Lamphun
"ร้านอินดี้ ""เนิ้บ..เนิ้บ""",17.9562446,98.9207417,Lamphun
Sai@Cafe ก้อ,17.9358174,98.9066956,Lamphun
NU'A COFFEE & TEA,17.7654123,98.8205791,Lamphun
4CEP Coffee & Tea,17.7678211,98.9816005,Lamphun
ร้านน้ำชงกันเอง,17.9942617,98.8763265,Lamphun
ร้าน 106Cafe,18.1253143,98.9245343,Lamphun
เดรี่ชาาาาา ไข่มุก,17.7078843,99.0599718,Lamphun
ขิมมี่กาแฟสด,17.9698242,98.8827081,Lamphun
บ้านน้ำ@นมเหนียว,17.8112458,98.9391166,Lamphun
ช.การชง,17.960965,98.89571,Lamphun
ตูบผญ๋ากาแฟสด,18.0057308,99.027259,Lamphun
Thung doi luang coffee,18.0026674,98.8774443,Lamphun
น้าปุ๋ยกาแฟสด,18.5778102,99.0070538,Lamphun
Seoul cafe 서울 카페 โซลคาเพ่,18.5807059,99.0078987,Lamphun
Aq Bur old town คาเฟ่ย่านเมืองเก่าลำพูน,18.5765081,99.0065433,Lamphun
Yann,18.5789375,99.0190625,Lamphun
อะนะตะการ์เดนชิล คาเฟ่ลำพูน,18.5660983,99.0029877,Lamphun
Think Box Café,18.5971076,99.0166835,Lamphun
Cafe' De Lamphun,18.5671031,99.0125643,Lamphun
Cafe & Friends,18.495965,98.9583278,Lamphun
มาลาจรคาเฟ่,18.5963752,99.0158631,Lamphun
Aube cafe,18.583627,99.0791691,Lamphun
First Coffee at Lamphun,18.5853354,99.0120942,Lamphun
511 COFFEE house,18.5766992,99.0050819,Lamphun
willwhy cafe house,18.580517,99.0109965,Lamphun
Judy's home cafe,18.5760064,99.0091131,Lamphun
Black to Basic,18.6130766,99.0375449,Lamphun
CHIC ROOM by Klom Kafe’,18.5823777,99.0138739,Lamphun
B.Y. HOMEMADE BAKERY,18.6489358,99.0430725,Lamphun
Mafe Cafe’ Minimal Space,18.5811057,99.0097429,Lamphun
hhom cafe / ฮ่อมคาเฟ่,18.5749268,99.007747,Lamphun
SUKSUD - สุขสุด,18.5862746,99.0509444,Lamphun
DANIFA CAFE,18.5965215,99.0317571,Lamphun
เดอะกรีนฟอร์เรสท์ ลำพูน The Green Forest Lamphun,18.5803054,99.0081007,Lamphun
itim.nuar Icecream Cafe Lamphun ไอติมนัวร์ ไอศครีมคาเฟ่ลำพูน,18.6160939,99.0450408,Lamphun
ซาน เจ คาเฟ่ แอนด์ เบเกอรี่,18.6006255,99.0195515,Lamphun
Rit coffee house,18.5816968,99.0202703,Lamphun
โรเซ่คาเฟ่ลำพูน,18.5758781,99.0065581,Lamphun
JAMA Cafe • Lamphun,18.5976412,99.0167442,Lamphun
My Friend Coffee,18.5904398,98.9971328,Lamphun
Love U Coffee and Cake,18.5695913,99.0058756,Lamphun
blacksmith cafe,18.5507749,99.0371307,Lamphun
cafe at home lamphun,18.5805771,99.0062517,Lamphun
Nomnoey Desser&Cafe หนมเนย,18.5755695,99.0059673,Lamphun
Caffeine coffee or meow,18.6314095,99.0391792,Lamphun
IT’S Lamphun อิทส์ ลำพูน คอฟฟี่,18.6469092,99.0429345,Lamphun
ลาปูเน่ Lapuné Cafe and Scene,18.5829325,99.0088703,Lamphun
ApolloCafe,18.5523679,99.0351135,Lamphun
HUB studio cafe,18.5881514,99.0132164,Lamphun
IED ART Studio l art x coffee l,18.5554882,99.0575184,Lamphun
เติบโต Speciality Handcraft,18.5904108,99.0120113,Lamphun
THE BOWL CAFE’ (เดอะโบว์ลคาเฟ่),18.5832475,98.9946847,Lamphun
Light Coffee Lamphun,18.5739794,99.0441395,Lamphun
Best Day Cafe,18.5909088,99.0809947,Lamphun
afterglow,18.5879178,99.0106287,Lamphun
French House เฟรนช์เฮ้าส์ Since 2023 @Lamphun,18.6509602,99.0397602,Lamphun
Le lapin Café,18.5436412,98.9678425,Lamphun
Nolimit coffee & roaster,18.5767033,99.0088597,Lamphun
AMFER’cafe,18.5519963,99.0354549,Lamphun
Tungtong cafe’ coffee and milk,18.5807068,99.0059826,Lamphun
note espresso,18.5813163,99.0063786,Lamphun
มะลิลา,18.5467222,99.0577253,Lamphun
FULL coffee,18.6511609,99.0732386,Lamphun
108 at Loft Coffee /108 แอท ลอฟท์ คอฟฟี่ กาแฟลำพูน,18.6164331,99.03481,Lamphun
Rai Rak Cafe’ & Restaurant,18.615411,99.0347547,Lamphun
ช่างไม้ Cafe' & Restaurant,18.5954963,98.9730213,Lamphun
ถ้วยชากาแฟ ลำพูน,18.5893646,99.0114148,Lamphun
Slow van Slow bar,18.5453125,99.0651875,Lamphun
กาแฟหอศิลป์ Horsilp Cafe,18.5527612,99.0354211,Lamphun
SLIT​ COFFEE ROASTER,18.5803868,99.0080148,Lamphun
อัพ คอฟฟี่ - ลำพูน,18.4803541,99.0590631,Lamphun
il cafe & bistro,18.5577568,99.0360313,Lamphun
B-luv cafe,18.6204732,99.111343,Lamphun
Sip Whisper,18.5473752,99.0552097,Lamphun
โซนคาเฟ่,18.5877816,99.0476493,Lamphun
สยามกัญคาเฟ่@ลำพูน,18.5867944,99.0498094,Lamphun
Chunista Lamphun,18.6267537,99.0022606,Lamphun
Miss cafe’ Lamphun,18.5765597,99.0093292,Lamphun
Jomyut Coffee,18.5506929,99.0783796,Lamphun
deep coffee lamphun,18.5789264,99.0192666,Lamphun
Wine Garden chill Lamphun,18.5632138,99.0337185,Lamphun
Manual coffee กาแฟสดทำมือ,18.5786099,99.0715001,Lamphun
SIRI HOME CAFE,18.4391457,98.9741255,Lamphun
1033Roadcafe,18.4690164,98.9248739,Lamphun
SUN'S SON Cafe,18.5642042,99.0625716,Lamphun
84 Coffee House,18.4642439,99.1285476,Lamphun
Tanonyai Cafe Maetha Lamphun,18.4834741,99.1284597,Lamphun
TeTRIS Cafe สะพานขาวทาชมภู,18.4307435,98.9573248,Lamphun
Sudsapan coffee&camp สะพานขาวทาชมภู,18.4280952,99.0868608,Lamphun
ฮิมโต้ง คาเฟ่,18.4062434,99.0138561,Lamphun
จิบกาแฟ แลมัดย้อม By Paisri cafe&tie-dye,18.4568277,99.1252777,Lamphun
ร้านโอโซนคาเฟ่,18.4218199,99.0065139,Lamphun
Love bird cafe,18.4877408,99.1306354,Lamphun
Thadee Coffee (ทาดี คอฟฟี่),18.4227344,98.9600993,Lamphun
Coffee Coffer Cafe',18.4597085,99.1815062,Lamphun
Delizia Garden,18.4266925,99.0359911,Lamphun
เอเอน เฮาส์ คาเฟ่ Eien House Cafe',18.5632564,99.2579772,Lamphun
Daytrade Coffee,18.4320816,99.0559894,Lamphun
Crunchy Monkey Coffee,18.4444302,99.109484,Lamphun
รอคิวคาเฟ่,18.5532333,99.2487984,Lamphun
Dark & Land Coffee,18.4260317,98.9904999,Lamphun
วินเบเกอรี่&กาแฟสด,18.4183434,98.9576786,Lamphun
แล้วใจ๋คาเฟ่,18.461453,99.1302004,Lamphun
Coffee Bear,18.4933488,99.194878,Lamphun
"Salon' Coffee, คาเฟ่สายสวย",18.4192273,98.9798329,Lamphun
ต๋อง ต๋อง Cafe (เล่นๆ),18.4495128,99.1251782,Lamphun
วีระมีนม (Farm & Cafe),18.4216117,99.0101055,Lamphun
Ban PP Cafe (บ้านพีพีคาเฟ่),18.4616186,99.1332535,Lamphun
90'cafe'@แม่ทา,18.456238,99.1396108,Lamphun
ร้านม่อนหินขาว คาเฟ่,18.426135,99.031196,Lamphun
ละมุนคาเฟ่ เหมืองลึก,18.4793493,99.1853944,Lamphun
Mymarchmello cafe,18.5543238,99.2500239,Lamphun
บ้านทาคาเฟ่ Bantha Cafe,18.4016881,98.9639034,Lamphun
Smile Coffee สมายด์ คอฟฟี่ ณ ลำพูน,18.3936134,98.987559,Lamphun
กาแฟในสวนนกบ้านทา,18.4272327,99.0424959,Lamphun
ซีคัพคอฟฟี่ @88Bar,18.4592249,99.1281919,Lamphun
พร้าวลำ คาเฟ่(น้ำผลไม้และกาแฟสด),18.5254952,99.2337542,Lamphun
ร้านกาแฟแก้มป่อง (KamPong Coffee),18.408156,99.01456,Lamphun
Coffee Corner @บ้านสวนเลขาฯ,18.5444101,99.2433043,Lamphun
ร้านบ้านขนม'คุณต้นกล้า,18.4324032,99.0851821,Lamphun
สุขใจ คาเฟ่,18.4136541,98.9599199,Lamphun
บ้านระเบียงกาแฟสด,18.4700269,99.1271361,Lamphun
Caff & Tea @Bann Intanin,18.4178707,98.9930861,Lamphun
Kbcoffee,18.6461476,99.130262,Lamphun
Totaycafe,18.4622797,99.1757009,Lamphun
Cafe​ corner,18.5627082,99.2577334,Lamphun
ฮักบ้านทากาแฟสด,18.3488744,98.955913,Lamphun
คาเฟ่ เดอ ผาเวียง,18.431937,98.986516,Lamphun
บ้านปั๋นกั๋นอยู่,18.4062976,98.9688095,Lamphun
ร้านบ้านฮิมเมย,18.4132985,98.9809648,Lamphun
ต้นไม้คาเฟ่,18.5524154,99.2474631,Lamphun
ต้นชากาแฟ,18.6626422,99.1334054,Lamphun
จาวนา คาเฟ่,18.5008626,99.2658822,Lamphun
Seventeen ฟินขุนตาน Cafe สถานีรถไฟขุนตาน,18.6165856,99.09301,Lamphun
SUK coffee ハッピー,18.4620053,99.1378293,Lamphun
Train To Maetha,18.5268064,98.9397854,Lamphun
ป่าซางคอฟฟี่,18.5257296,98.9034167,Lamphun
Route 116 Cafe',18.5248552,98.9395366,Lamphun
ตูบกาแฟ กฤชณัฎฐ์ฟาร์ม,18.5259895,98.9396164,Lamphun
I Am Coffee,18.4861652,98.8782331,Lamphun
ภูฟิน@ป่าซาง,18.4721228,98.8203873,Lamphun
โรงคั่วกาแฟ เฉด ออฟ บราวน์ Shade off Brown Coffee Roaster,18.4767843,98.9486462,Lamphun
Huddle ฮัดเดิ้ล ป่าซาง ลำพูน,18.5164242,98.9416881,Lamphun
BITTER STORY Slow Bar Coffee,18.4626394,98.9181674,Lamphun
กาแฟหอมละไม,18.4891063,98.9388553,Lamphun
TAIYOU​ SLOW BAR COFFEE.太陽,18.43709,98.8072591,Lamphun
ฮ้านยาย,18.5200369,98.8936854,Lamphun
คำปันคอฟฟี่,18.4840697,98.8798111,Lamphun
บ้านสวนแสนรัก,18.4935908,98.9408438,Lamphun
ToysCafe - ทอยส์คาเฟ่,18.455878,98.9052509,Lamphun
"บ้านสวนตะวันป่าซาง Baan Suan Tawan, Lamphun",18.4678412,98.8558015,Lamphun
Coffee Bike,18.4158452,98.8673832,Lamphun
Family Coffee,18.4905106,98.8834407,Lamphun
กาแฟบ้านคุณครู,18.5162197,98.9418873,Lamphun
ทุ่งแสงคำ คาเฟ่ Tung Saeng Khum Café,18.448988,98.8894827,Lamphun
ร้านคุ้มเก้าคาเฟ่,18.4462748,98.8876914,Lamphun
Homm cafe,18.5251568,98.9394564,Lamphun
บ่ายองคอฟฟี่,18.5145489,98.9050157,Lamphun
BK 247 Coffee,18.4779954,98.8571457,Lamphun
234 Coffee House (234คอฟฟี่เฮ้าส์),18.5284959,98.9411283,Lamphun
Yammy Cafe (แยมมี่ คาเฟ่),18.5325049,98.9401651,Lamphun
ODIN coffee,18.4798644,98.9461288,Lamphun
บ้านนา คาเฟ่,18.5178342,98.9412669,Lamphun
YimYim coffee,18.4774036,98.84585,Lamphun
In​ Home​ Coffee@pasang,18.5098248,98.9128716,Lamphun
ร้านบ้านสวนลำไย,18.4703391,98.9268926,Lamphun
เจ้าญิ๋ง คาเฟ่,18.4470636,98.8872719,Lamphun
ลิ้น คอฟฟี่ (Lin Coffee),18.4284661,98.8647377,Lamphun
The Yum @ Pasang Cafe,18.5136362,98.8707159,Lamphun
Coffee ban khun nu,18.4780783,98.864847,Lamphun
สวนอุสา By สาม.อ,18.4793601,98.9351817,Lamphun
คอฟฟี่ มี ( Coffee Me),18.4354375,98.8728125,Lamphun
Chill Cha Cafe’116 (ชิว ชา),18.4785928,98.934282,Lamphun
884 คาร์แคร์ คาเฟ่,18.5203447,98.9390581,Lamphun
เจิดแจงคอฟฟี่ชา,18.5212884,98.9402095,Lamphun
OWL CHA สาขาป่าซาง,18.5714493,98.999365,Lamphun
Aroon coffee (อรุณ) สาขาในเมือง,18.4767102,98.9329072,Lamphun
ร้านกาแฟในหอศิลป์(ทานลำคอฟฟี่),18.4466368,98.8881002,Lamphun
ร้านพันไมล์จอมพลัง (รพ.ป่าซาง ลำพูน),18.5183178,98.929107,Lamphun
"เชียร์ชากาแฟ by""ครัวบัวตอง""",18.5292935,98.9405979,Lamphun
ซุ้ม กาแฟ,18.4498802,98.8908101,Lamphun
บ้านลุงจ่าคาเฟ่,18.4758596,98.9490535,Lamphun
นิวเรือนไทย คอฟฟี่,18.5168719,98.9225077,Lamphun
124 Coffee ป่าซาง,18.4625777,98.8362571,Lamphun
กาแฟBEST BAR,18.417984,98.874042,Lamphun
ร้านน้ำแข็งใสเก๊ามะหนุน,18.4923055,98.9411672,Lamphun
D.D. Coffee กาแฟสด ดวงดีโฟน บ้านป่ารกฟ้า,18.4295414,98.866451,Lamphun
อ.คอฟฟี่,18.4848283,98.9064964,Lamphun
มุงคา กาแฟ,18.4726965,98.8696662,Lamphun
บ้านสวน BRAVO 26,18.7070118,99.1698434,Lamphun
KOI Lakeviewcafe คอยเลควิวคาเฟ่,18.6527858,99.1386775,Lamphun
Valley Cafe II,18.6521678,99.1266622,Lamphun
อาบป่า101 Cafe and Bar,18.7076016,99.1698706,Lamphun
RABIANGDOI CAFE,18.6703542,99.0877332,Lamphun
กาแฟบ้านขาว,18.650555,99.1132726,Lamphun
ปังนา คาเฟ่ .. Pang-Na Café .. Lamphun,18.693077,99.1581726,Lamphun
ลองส์คาเฟ่,18.293446,98.8155459,Lamphun
ที่บ้านคาเฟ่,18.6507313,99.1248014,Lamphun
The Nature'Cafe,18.6159118,99.1697431,Lamphun
Girl Cafe,18.6645527,99.1552147,Lamphun
มาคาเฟ่,18.6517358,99.1257045,Lamphun
ฮัทชิคาเฟ่ บ้านธิ,18.6497402,99.1266385,Lamphun
มิตร คาเฟ่,18.6519824,99.1264527,Lamphun
ฮัทชิ คาเฟ่ บ้านธิ,18.6513125,99.1256875,Lamphun
CHA SHEEP ร้านชาชีพ สาขาบ้านธิ,18.651854,99.070152,Lamphun
Ava cafe,18.6465506,99.1081101,Lamphun
Pasun Coffee,18.6307691,99.0604975,Lamphun
ชาลำ Cha Lum,18.6468785,99.108297,Lamphun
ร้าน Sweet Hut,18.6503808,99.113485,Lamphun
ณ ปลาเผา Cafe and Restaurant,18.6488563,99.1130164,Lamphun
"MALii Coffee ""กาแฟรถตู้""",18.6259816,99.153142,Lamphun
ร้านกาแฟสดฮิมดอยcoffee,18.6746825,99.1410604,Lamphun
Love farm ฟาร์มรัก,18.6503808,99.1242992,Lamphun
โตริชา สาขา บ้านธิ,18.6540047,99.1282928,Lamphun
บ้านกลางซอย ณ.บ้านธิ ลำพูน,18.4216944,98.7465257,Lamphun
เฮือนหม่อน coffee​ อ.เวียงหนองล่อง​ จ.ลำพูน,18.5096449,98.9635134,Lamphun
KAFF & KOFF,18.6409462,99.1371314,Lamphun
บ้านมิวสิค กาแฟสด,18.3711164,98.7413048,Lamphun
Coffee Time,18.2978697,98.815332,Lamphun
Stock House cafe,18.3279316,98.8074222,Lamphun
Lafts Cafe' ลาฟท์ คาเฟ่,18.3054223,98.828903,Lamphun
Friendship ​coffee cafe',18.2974713,98.8154421,Lamphun
เดอะดอยกานคอฟฟี่,18.2856095,98.8172845,Lamphun
ร้านกาแฟดอยช้างหลวง,18.3469743,98.8147953,Lamphun
Lanna Land Lamphun ลานนาแลนด์,18.3826406,98.7436801,Lamphun
A Sip Coffee House,18.295014,98.8158718,Lamphun
ร้านมานา,18.277801,98.8198004,Lamphun
บ้านสวนกาแฟสด (Baan Suan Cafe),18.372324,98.7567347,Lamphun
Mer Cafe',18.3723992,98.7601057,Lamphun
กาแฟข้างบ้าน Beside’s Coffee,18.3015535,98.8157201,Lamphun
Bannnok cafe',18.3798974,98.7472174,Lamphun
THE BLACK HOUSE CAFE,18.3123111,98.790239,Lamphun
4' S Cafe',18.2950593,98.8158734,Lamphun
Aline Coffee&Bake,18.30692,98.8202784,Lamphun
89coffee,18.3602375,98.7892208,Lamphun
Tidkoh,18.2946704,98.8337946,Lamphun
