name,province,lat,lon,type,kw,capacity
DoHome Chaingmai,Lamphun,18.602187,99.023062,AC,22,2
บริษัท ซีเอ็นเอ็กซ์ ออโต้ จำกัด (สาขาลำพูน),Lamphun,18.603813,99.022312,DC,120,2
PEA VOLTA แจ่มฟ้า เมืองลำพูน,Lamphun,18.558937,99.039187,DC,26,2
พีทีที สเตชั่น หจก.ช.ชญาปิโตรเลียม,Lamphun,18.570813,99.044687,DC,120,2
"Gentari_Caltex - Charoenkit Oil Co., Ltd.",Lamphun,18.542437,99.063187,DC,120,2
สถานีบริการน้ำมัน PT ลำพูน 2,Lamphun,18.546062,99.059188,DC,150,2
พีทีที สเตชั่น สาขาลำพูน-ดอยติ,Lamphun,18.56625,99.02875,DC,120,2
BYD North Star Lamphun,Lamphun,18.570188,99.043813,DC,120,2
Pepsi-Cola (Thai) Trading(Lamphun),Lamphun,18.618812,99.047313,DC,22,3
พีทีที สเตชั่น สาขาลำพูน-ดอยติ,Lamphun,18.56625,99.02875,AC,22,1
BYD North Star Lamphun,Lamphun,18.570188,99.043813,AC,22,2
Pepsi-Cola (Thai) Trading(Lamphun),Lamphun,18.618812,99.047313,AC,50,3
บิ๊กซี ลำพูน,Lamphun,18.591062,99.041188,DC,120,2
วิลล่าแสงดาว,Lamphun,17.825563,98.931062,AC,3.7,1
บอกฮักอพารท์เมนท์,Lamphun,18.296188,98.814562,AC,3.7,1
549​ Resort​ and Cafe​,Lamphun,18.019937,98.884312,AC,3.7,1
PEA VOLTA ลี้,Lamphun,17.791063,98.952812,DC,26,1
ร้านดาวคะนองลำพูน สาขาดอยติ,Lamphun,18.546687,99.058063,AC,3.7,2
