name,lat,lon,open,close,province
มะลิลา,18.5813163,99.0063786,10:00,20:00,Lamphun
ร้านอาหารดาวคะนอง สาขา ในเมือง,18.5893336,99.0116282,10:00,20:00,Lamphun
ครัววันดี,18.5916297,98.9792783,9:00,21:00,Lamphun
ร้าน ลาบลุงนิล,18.569422,99.0093938,10:00,23:00,Lamphun
ขนมเส้นหม้อดิน ลำพูน,18.5559535,99.0359139,9:49,15:59,Lamphun
ร้าน บ้านข้าวซอยลำไย ลำพูน,18.5590021,98.9856319,8:30,15:00,Lamphun
ร้านต้นฝ้าย,18.5761862,99.0091133,11:00,22:00,Lamphun
จันผา อาหารพื้นเมือง(JUNPHA LOCAL KITCHEN : The local food Restaurant ),18.5693262,98.9961509,10:30,20:00,Lamphun
ร้านอาหารดาวคะนองลำพูน,18.5467059,99.0580121,8:30,20:30,Lamphun
Chef's House Nakorn Lamphun,18.5644126,99.0300167,11:00,21:00,Lamphun
ร้านเฮือนคำใส,18.5835695,99.0107527,9:00,16:00,Lamphun
นทีทาม,18.6083103,98.9662304,10:00,20:00,Lamphun
ข้าวซอยลำพูน ข้าวซอยนมสด สายน้ำผึ้ง,18.5782764,99.0040263,10:00,15:00,Lamphun
ร้านอาหาร ม๋วนใจ๋ปลาจุ่ม,18.5942435,99.0183888,10:30,23:00,Lamphun
ข้าวมันไก่ไทยแลนด์,18.5779028,99.007124,6:00,14:00,Lamphun
ครัวคุณกุ้ง,18.5759526,99.0439224,11:00,21:30,Lamphun
ร้านอาหาร เดอะวู้ดเด้นเฮ้าส์ & ห้องคาราโอเกะ,18.5815075,99.0054182,17:00,23:30,Lamphun
ข้าวต้มเลิศรส ลำพูน,18.5640719,99.0315794,11:00,22:00,Lamphun
ข้าวซอยเจ้าเก่าลําพูน,18.5766061,99.0091612,7:00,13:00,Lamphun
ร้านลาบอ้ายแดง,18.5493672,99.036397,8:00,17:00,Lamphun
กล้วยทอดโค้งครูบา,18.5760249,99.0030622,8:00,17:00,Lamphun
ร้านเก็บกด ลำพูน,18.5819871,99.0123148,17:00,22:00,Lamphun
เรียวตะชาบูบุฟเฟ่ต์ ชาบูน้ำดำเข้มข้นสไตล์ญี่ปุ่น สาขาแจ่มฟ้าลำพูน,18.5590002,99.0391225,11:00,22:00,Lamphun
CHIC ROOM by Klom Kafe’,18.6130766,99.0375449,8:30,23:00,Lamphun
เรือนแพลำพูน,18.5718517,99.0094681,10:00,23:00,Lamphun
ร้านข้าวซอยบ้านแป้นatลำพูน,18.5132728,98.9641438,9:00,18:00,Lamphun
ครัววิไลอาหารพื้นเมือง,18.5505816,99.0368349,7:00,15:00,Lamphun
ข้าวมันไก่วิศวะ(ลำพูน),18.5765753,99.0070215,7:00,15:00,Lamphun
