name,lat,lon,province
อีซี่โฮเทล ลำพูน 2,18.5600695,99.0371993,Lamphun
อีซี่โฮเทล 1 ลำพูน,18.5734565,99.0130097,Lamphun
โรงแรมแกรนด์ ปา แอนด์ รีสอร์ท ลำพูน เชียงใหม่,18.5598964,99.0381317,Lamphun
โรงแรมพญาอิน ลำพูน Phaya Inn,18.582971,99.0157155,Lamphun
Nornlamphun Boutique Hotel,18.6011899,99.0202017,Lamphun
189 พรีเมียร์วิลล่าลำพูน,18.5062011,98.9766159,Lamphun
Royal Princess City Hotel Lamphun,18.616082,99.0349209,Lamphun
Lamphun Place,18.5838575,98.994802,Lamphun
The First Resident Lamphun,18.5897852,99.0143083,Lamphun
โรงแรมจามาเดวี,18.5796661,99.0017941,Lamphun
Ban Suan Suree Resort บ้านสวนสุรีย์,18.5174138,99.0757299,Lamphun
โรงแรม แท่นทอง,18.5894775,99.0141754,Lamphun
PickBaan Hostel,18.5798266,99.0070238,Lamphun
Lerchor Hostel & Art Cafe,18.5945293,99.0173617,Lamphun
คำโฮม Comehome Lamphun,18.5815044,99.0177181,Lamphun
Min Home,18.5809087,99.0181112,Lamphun
บ้านทรัพย์ภูริ,18.6290376,99.0386164,Lamphun
โรงแรมบ้านหละปูน,18.5894673,99.0104392,Lamphun
Lamphun Garden Home,18.5806648,99.0184946,Lamphun
Gassan Khuntan Golf Resort,18.5203688,99.2264388,Lamphun
9Roomz,18.6927679,99.0489895,Lamphun
Bed and Butler Hostel,18.5221664,99.2243666,Lamphun
Home of Dusita,18.5602163,98.9973334,Lamphun
Temple House Cottage,18.5783297,99.0056265,Lamphun
บ้านม่อนมะกอก รีสอร์ท,18.4607208,98.9215916,Lamphun
โรงแรมสลุงอินท์,18.5386299,98.9706708,Lamphun
บ้านไร่แม่ทารีสอร์ท,18.4782654,99.1716069,Lamphun
Khon Thao คนเฒ่า,18.5830019,99.0170521,Lamphun
เฮือนคำเมืองหละปูน,18.6176126,98.9835184,Lamphun
ณ.ใจ บูติค เฮ้าส์,18.5776717,99.006317,Lamphun
S HOTEL,18.5563555,99.0407045,Lamphun
A day inn Lamphun,18.5705101,99.0180625,Lamphun
เดอะ แกรนด์จามจุรี รีสอร์ท ลำพูน,18.5962906,99.0032437,Lamphun
โรงแรมลำพูนวิล,18.5825304,98.9963615,Lamphun
โรงแรมบ้านเพื่อนโตโต้ลำพูน,18.5808215,99.0178685,Lamphun
บ้านสุขใจ (SUKJA RESORT),18.5470992,99.0361537,Lamphun
ลีลาวดีเพลส ลำพูน,18.5838732,98.9924547,Lamphun
โรงแรมวี.พี. 94,18.5435752,98.9353485,Lamphun
โรงแรม โฮสเทล รีสอร์ต รายวัน รายเดือน ลำพูน ใกล้ศูนย์ราชการลำพูน,18.5348218,99.0737492,Lamphun
โรงแรมแพ็ตตี้พรีเมียร์,18.5908734,99.0171462,Lamphun
โรงแรม แท่นทอง 2,18.5815219,99.0106907,Lamphun
โรงแรม 84,18.5891942,99.0141809,Lamphun
Lamphun Hostel,18.5799701,99.0066219,Lamphun
ล้านนารีสอร์ท ลำพูน,18.5142196,99.0946892,Lamphun
อัญมณี รีสอร์ท(สาขา2) - Aunyamanee Resort lamphun 2,18.4729437,98.9297834,Lamphun
lana hotel,18.58869,99.01112,Lamphun
โรงแรมฝันหวาน Funwan Hotel and Viennoiserie,17.8042442,98.9471039,Lamphun
Baan Pailyn Resort,17.7897156,98.9533475,Lamphun
549 Resort & Cafe Lamphun,18.0199121,98.8843126,Lamphun
H1 boutique,18.324454,99.352897,Lamphun
PloyPreawPhan Resort,18.0106989,99.0367635,Lamphun
ภูหมื่นลี้,17.7741005,98.9869405,Lamphun
ลำพูนกรีนลีฟเฮาส์ Lamphun Green Leaf House,18.60954,98.991601,Lamphun
โรงแรมต้นไผ่รีสอร์ทลำพูน,18.6307561,99.0413688,Lamphun
บ้านคุณฝนรีสอร์ท,17.7837045,99.258549,Lamphun
การ์ดสุมหัว by รีสอร์ทสุขเหมือนฝัน,18.611786,99.0571547,Lamphun
กลางเวียงรีสอร์ท,17.7896383,98.9527336,Lamphun
แม่ทารีสอร์ท,18.4619671,99.1604039,Lamphun
Baan Lapoon Hotel,18.1253,98.9245,Lamphun
ต้นปาล์ม รีสอร์ท,17.8073335,98.9449485,Lamphun
แกนาเกสต์เฮ้าส์,18.0539879,99.2408168,Lamphun
Wang Vari Resort,18.0940337,99.3459266,Lamphun
รีสอร์ทกุ้งนางบ้านนา,18.2461395,99.3195776,Lamphun
สักทองรีสอร์ท,17.6520813,99.2036237,Lamphun
Hangchat Backpacker Hostel,18.3182572,99.3606004,Lamphun
ศรีกันใจ,18.535057,99.0326471,Lamphun
คาระวีรีสอร์ท ที่พัก จัดงาน,18.4294671,99.0439316,Lamphun
ผาสุขโฮเต็ล,18.4647153,98.9756481,Lamphun
Phawana Garden Hotel,18.4194798,99.0101006,Lamphun
โรงแรมเอ.ที.เอ็ม,18.5454727,99.0360011,Lamphun
HowtoHotel,18.588895,99.012023,Lamphun
โรงแรมมายเฮ้าส์,18.5465294,99.0340851,Lamphun
นอร์ทเทอร์นเฮอริเทจ รีสอร์ท,18.6692023,99.1364652,Lamphun
ไม้งามลำพูน รีสอร์ท,18.5580178,99.0352584,Lamphun
บ้านก๋งโฮสเทล,18.5951126,99.0163869,Lamphun
ลีฟวิลเลจ บ้านพัก อำเภอลี้,17.8008264,98.9460396,Lamphun
Chanya garden poolvilla,18.0727238,99.0133387,Lamphun
โชคไพบูลย์ รีสอร์ท,17.8137032,98.9394107,Lamphun
รุ่งไพลิน ล้านนา รีสอร์ท,17.8078521,98.9419615,Lamphun
Dewo's Home & Garden Resort,17.8692329,98.9388575,Lamphun
