name,lat,lon,open,close,type,province
สัปปายยะ สปา,19.3523575,98.4421915,10.00,21.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
จุดชมวิว หน่อ-ฮ่อ-ฝ่า,19.548178,98.1601458,6.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ทะเลหมอกหยุนไหล,19.3690372,98.395388,6.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
กลอเซโล,17.8754945,97.7134316,6.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ดอยธง ,19.3446878,98.3306995,6.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ดอยเมี่ยง,19.3261042,98.3453708,6.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
สะพานบุญโขกู้โส่,19.3225079,98.3931658,6.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
จุดชมวิวกิกอคอบ้านห้วยเฮี๊ยะ,19.6620182,98.2378438,6.00,23.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
จุดชมวิวสันวัวตอ,19.5998424,98.2552645,6.00,23.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ดอยจิกจ้อง,19.44592777,98.31917756,6.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
สัปปายยะ สปา แอนด์ คลินิก,19.35237084,98.44226816,10.00,18.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
น้ำพุร้อนไทรงาม,19.45910692,98.37995105,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ปางช้างบ้านท่าปาย,19.2967503,98.4661945,6.00,18.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
บ้านผาเจริญ,19.6012701,98.2264247,9.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
บ้านป่าปุ๊,19.22077419,97.96642416,9.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
บ้านดูลาเปอร์,18.4076221,98.0810321,6.00,23.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
บ้านดง,18.34114743,98.07817572,8.00,17.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
บ้านใหม่สหพันธ์ (ลีซอ),19.3726157,98.4088278,8.00,17.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
น้ำพุร้อนแม่อุมลอง,18.20473255,98.00084227,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
น้ำตกนทีราชันย์,18.34342858,98.02255743,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
น้ำตกแม่สะงากลาง,19.49687819,97.96054476,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
น้ำตกแพมบก,19.32053456,98.40519869,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ที่ทำการอุทยานน้ำตกแม่สุรินทร์,19.35332236,97.98101538,8.00,16.30,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ถ้ำผาเผือก,19.6486332,98.2158297,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ถ้ำปางคาม,19.6850724,98.193961,8.00,16.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ถ้ำแม่ละนา,19.57457273,98.21584814,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ถ้ำเมืองแพม,19.58351875,98.3078801,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ถนนคนเดินปาย ,19.35947678,98.44153994,17.00,22.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
ถนนคนเดินจังหวัดแม่ฮ่องสอน,19.29886392,97.96674603,17.00,22.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
ตลาดสายหยุด เทศบาลเมืองแม่ฮ่องสอน,19.30278262,97.96678894,6.00,23.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
ดอยพุ่ยโค ,17.9961142,97.99381488,6.00,23.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ชุมชนบ้านห้วยตองก๊อ,19.1504997,98.10742521,9.00,16.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
ชุมชนบ้านเมืองปอน,18.74234752,97.92626613,6.00,23.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
จุดชมวิวผาบ่อง,19.17180485,97.98967355,6.00,23.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
จุดชมวิวบ้านหลุกข้าวหลาม,19.55809458,98.15207594,6.00,23.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
กลุ่มผลิตน้ำมันงาบ้านสบสอย แม่ฮ่องสอน,19.33293421,97.93159836,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
โป่งนก,19.6208458,98.1775638,7.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
สะพานประวัติศาสตร์ท่าปาย,19.29755767,98.46514338,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
สะพานซูตองเป้,19.38905116,97.95419329,6.00,20.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
ศูนย์ส่งเสริมการเกษตรที่สูงห้วยมะเขือส้ม ,19.5244903,97.9347987,7.00,18.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
ศูนย์วิจัยและพัฒนาการเกษตรแม่ฮ่องสอน ,19.2708702,97.9444046,8.00,16.30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
ศูนย์พัฒนาโครงการหลวงแม่ลาน้อย (นาขั้นได),18.34114743,98.07804697,7.00,18.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
วัดหลวง,19.35998289,98.43857878,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดม่วยต่อ,18.82887512,97.9334008,8.00,17.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดพระธาตุจอมกิตติ,18.1462421,97.91994684,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดพระธาตุจอมแจ้ง,18.15407186,97.94479483,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดผาอ่าง,19.3175678,97.9651031,8.00,17.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดผาผ่า,18.0341937,97.9295496,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดป่าถ้ำวัว ,19.52911726,98.08169478,6.00,16.30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดปางหมู,19.356005,97.9635004,8.00,17.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดป่าขาม,19.35934519,98.4439271,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
วัดแม่ปาง ,18.4710904,97.9587894,7.00,18.00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
ร้านกาแฟ คอฟฟี่ อิน เลิฟ,19.3384255,98.4330855,6.00,18.00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
พิพิธภัณฑ์มีชีวิตเมืองแม่ฮ่องสอน,19.30122325,97.96818369,8.30,16.30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,maehongson
ศูนย์โครงการพัฒนาตามพระราชดำริจังหวัดแม่ฮ่องสอน,19.27386609,97.94401162,8.00,16.30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,maehongson
แม่น้ำสาะวินบ้านท่าตาฝั่ง,17.98149132,97.73843639,7.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
เขตรักษาพันธุ์สัตว์ป่าดอยเวียงหล้า,18.7944444,97.8433333,7.00,18.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
ถ้ำลอด ,19.568853,98.27961669,8.00,17.00,แหล่งท่องเที่ยวทางธรรมชาติ,maehongson
