name,lat,lon,province
Madame Ju Coffee,19.34765,98.4357919,Mae Hong Son
Dammie cafe' by บ้านมะนาว​,19.362038,98.4495298,Mae Hong Son
ON THE WAY COFFEE PAI,19.3577021,98.4384513,Mae Hong Son
เรื่องราว Reung-Rao Coffee & Bread,19.3577707,98.4410882,Mae Hong Son
Pai coffee Studio,19.3579578,98.4482754,Mae Hong Son
28 November Coffee at pai,19.3138556,98.4441328,Mae Hong Son
hope.coffeeandbakery,19.3583673,98.4406843,Mae Hong Son
Carrot On The Moon,19.3629277,98.4393041,Mae Hong Son
Chatchai Coffee Farming & Roaster,19.3587106,98.4395653,Mae Hong Son
โอมการ์เดน คาเฟ่,19.3571169,98.4408909,Mae Hong Son
Little Cottage Cafe,19.3567368,98.4393826,Mae Hong Son
คอฟฟี่อินเลิฟ,19.3384255,98.4330855,Mae Hong Son
Tribal Coffbread,19.3625399,98.4358682,Mae Hong Son
เลมอนไทม์คาเฟ่,19.359226,98.4430807,Mae Hong Son
Coffee Box@Pai,19.3682779,98.4347931,Mae Hong Son
Malamong Art Cafe,19.3588801,98.4443005,Mae Hong Son
Queue Espresso Bar,19.3568856,98.4433259,Mae Hong Son
Lalamal Cafe,19.3643313,98.4494978,Mae Hong Son
puri pai cafe,19.3606262,98.4402053,Mae Hong Son
Coffeestains,19.3585959,98.4408108,Mae Hong Son
Time cafe&bistro,19.3588441,98.4442223,Mae Hong Son
Rainny Cafe ฝอฝน(coffee&fruitshake),19.3588154,98.4393976,Mae Hong Son
หลงกลิ่น คาเฟ่ (Lhong Glin Café),19.2882796,98.4733168,Mae Hong Son
Baanpai cafe,19.3598439,98.4415617,Mae Hong Son
ART TA MA cafe,19.3585189,98.4409138,Mae Hong Son
The Pedlar,19.3608998,98.4397598,Mae Hong Son
Set Sail Pai Café,19.3432311,98.4325731,Mae Hong Son
Tham ma da cafe Pai #tmdpai ธรรมดา คาเฟ่ ปาย,19.3522579,98.4500214,Mae Hong Son
ชาลำดี คาเฟ่ Cha Lum Dee cafe’ @pai,19.3554627,98.4361063,Mae Hong Son
Espresso Bar by Prathom 1,19.3607189,98.440381,Mae Hong Son
Fresh Weed Cafe & Viewpoint (Cannabis & Coffee Shop),19.3349594,98.4319828,Mae Hong Son
LISU COFFEE - กาแฟลีซู,19.3619809,98.4496966,Mae Hong Son
Thonglor Coffee,19.3589532,98.442067,Mae Hong Son
"mr.moon (Coffee,Bar,Cafe,Restaurant)",19.3631751,98.4350475,Mae Hong Son
NiliN Cafe at pai,19.3555821,98.4453054,Mae Hong Son
Chortip Cafe’,19.3636894,98.4330331,Mae Hong Son
โรงคั่วกาแฟ,19.3582979,98.4368396,Mae Hong Son
The Barn Panoramic Bar (Bar & Restaurant Pai-ร้านอาหาร ปาย),19.3879807,98.4340886,Mae Hong Son
กาแฟเข้าท่า สาขาหัวนา (ใกล้โรงพยาบาลปาย),19.3633374,98.4346002,Mae Hong Son
Jaonang coffee Classic Thai Breakfast & Dim sum,19.3598319,98.441767,Mae Hong Son
Art in Chai,19.3586179,98.4425828,Mae Hong Son
Café De Pai,19.3588631,98.4435664,Mae Hong Son
P'Aew's Shake & Coffee,19.3589428,98.4432533,Mae Hong Son
Kiew Lom Café @ Mae Hong Son กิ่วลมคาเฟ่ แม่ฮ่องสอน,19.446384,98.3191042,Mae Hong Son
Lanna Cafe’ Camp,19.3781359,98.4271624,Mae Hong Son
Don't Cry Cafe,19.3577472,98.4454975,Mae Hong Son
ชาแฟปาย Tea & Coffee Pai,19.3589334,98.4409647,Mae Hong Son
Sawasdee Pai Cafe,19.3562871,98.4442147,Mae Hong Son
บราเธอร์,19.3496304,98.4508581,Mae Hong Son
Sports Cafe,19.3560842,98.4450352,Mae Hong Son
The Green View Pai,19.3328797,98.4544103,Mae Hong Son
Minimal cafe,19.3617715,98.4402878,Mae Hong Son
Earth Tone,19.3508875,98.4507176,Mae Hong Son
FarrangCafe & Art factory,19.3547468,98.4467821,Mae Hong Son
Sirikosol Coffee ศิริโกศล คอฟฟี่,19.365886,98.4395464,Mae Hong Son
Pai Hideout Café,19.3151206,98.4482231,Mae Hong Son
Annkamii,19.3595509,98.4413738,Mae Hong Son
Coffee Hill Pai,19.3349375,98.4316875,Mae Hong Son
"Cake go ""O""",19.3588087,98.4409016,Mae Hong Son
Bamboo Coffee,19.3568167,98.4382783,Mae Hong Son
Witching Well,19.3587506,98.4447086,Mae Hong Son
ร้านกาแฟ คาเฟยเตี้ยน,19.3712013,98.4028412,Mae Hong Son
Butterfly pea Neelam,19.3617067,98.4493683,Mae Hong Son
ดิโอล์ด ทาวน์ บาย มิสเตอร์ หม่า,19.36032,98.4409111,Mae Hong Son
Space​ Cafe,19.3491693,98.4352397,Mae Hong Son
40 YEAR BED & CAFE,19.3626494,98.4360575,Mae Hong Son
BAAN23 HOUSE CAFE,19.3584997,98.4415699,Mae Hong Son
กาแฟที่สะพานปาย,19.298562,98.4638651,Mae Hong Son
Vinyl Sky Lounge by Supermoon,19.3581821,98.4444238,Mae Hong Son
himtang cafe'กาแฟฮิมตาง,19.3477458,98.434043,Mae Hong Son
Ponthip Café,19.3577194,98.4336014,Mae Hong Son
Coffee Rich,19.3716217,98.4035167,Mae Hong Son
The Alchemist,19.3580466,98.4445639,Mae Hong Son
Hug Pai Cafe,19.3613247,98.4399341,Mae Hong Son
Café Doi Farm & Caffein King,19.3459906,98.4327088,Mae Hong Son
กาแฟโบราณ เดอะซัน,19.3613472,98.4399407,Mae Hong Son
OBA cafe,19.3572757,98.4403923,Mae Hong Son
กาแฟชาวเรือ,19.3537415,98.4481155,Mae Hong Son
กาแฟสดตลาดเช้าเมืองปาย,19.3569775,98.4377564,Mae Hong Son
Rabiang Thapai Coffee,19.3144952,98.4413793,Mae Hong Son
Dekdoi Coffee Jabo,19.5825563,98.2062783,Mae Hong Son
ร้านกาแฟคอฟฟี่มอร์นิ่ง แม่ฮ่องสอน Cafe Coffeemorning Maehongson,19.3005584,97.9695599,Mae Hong Son
BAAN YAI BON COFFEE,19.3060722,97.9637145,Mae Hong Son
เวตัวลา คาเฟ่,19.2883025,97.9601111,Mae Hong Son
Esconic Coffee เอสโคนิค คอฟฟี่,19.3042853,97.9649589,Mae Hong Son
Coffeecamp Maehongson,19.534041,97.9289309,Mae Hong Son
Little Good Things,19.2952555,97.966714,Mae Hong Son
บ้านถ้ำคาเฟ่CaveCafe @maehongson,19.3139952,97.9643996,Mae Hong Son
one off coffee,19.2987348,97.9694759,Mae Hong Son
กาแฟโหโข๋ Ho Kho Coffee,19.4600799,97.9666841,Mae Hong Son
ร้านช้างไทยกาแฟสด,19.4242497,97.9808643,Mae Hong Son
