name,province,lat,lon,type,kw,capacity
ทิวดอยการ์เด้น รีสอร์ทปาย,Mae Hong Son,19.338188,98.432063,AC,7,2
พีทีที สเตชั่น บจ.สุขุมเซอร์วิส (อำเภอเมือง),Mae Hong Son,19.293406,97.964213,DC,120,2
พีทีที สเตชั่น บจ.สุขุมเซอร์วิส (อำเภอเมือง),Mae Hong Son,19.293406,97.964213,AC,22,1
สถานี EleXA แม่ฮ่องสอน,Mae Hong Son,19.292063,97.964812,DC,125,2
สถานี EleXA ปาย,Mae Hong Son,19.348727,98.442399,DC,120,2
Silhouette by Reverie Siam,Mae Hong Son,19.348687,98.442312,DC,120,2
PEA VOLTA ปาย,Mae Hong Son,19.363108,98.425043,DC,120,2
ร้านฟูฟู่หมาล่าสายพาน,Mae Hong Son,19.370938,98.403688,AC,7,2
PEA VOLTA เมืองแม่ฮ่องสอน,Mae Hong Son,19.315088,97.965639,DC,60,2
PEA VOLTA เมืองแม่ฮ่องสอน,Mae Hong Son,19.315088,97.965639,DC,80,2
PEA VOLTA เมืองแม่ฮ่องสอน,Mae Hong Son,19.315088,97.965639,AC,3,1
ร้านอาหารชุมชนบ้านสันติชล,Mae Hong Son,19.370812,98.403188,AC,3,1
PEA VOLTA แม่สะเรียง #1,Mae Hong Son,18.183188,97.934438,DC,60,2
PEA VOLTA แม่สะเรียง #1,Mae Hong Son,18.183188,97.934438,DC,80,2
PEA VOLTA แม่สะเรียง #1,Mae Hong Son,18.183188,97.934438,AC,3,1
ภูริปาย วิลล่า,Mae Hong Son,19.387781,98.434042,AC,7,1
ภูริปาย วิลล่า,Mae Hong Son,19.387781,98.434042,AC,11,1
ภูริปาย วิลล่า,Mae Hong Son,19.387781,98.434042,AC,22,1
