name,lat,lon,open,close,province
ร้านอาหารใบเฟิร์น,19.2984188,97.9657511,11:00,14:00,Mae Hong Son
ร้านอาหารใบเฟิร์น,19.2984188,97.9657511,17:00,21:00,Mae Hong Son
ร้านอาหารบ้านทรงไทย,19.2747494,97.9506576,8:30,16:00,Mae Hong Son
ร้านอาหาร 1095 Garden,19.3022234,97.9794692,11:00,14:00,Mae Hong Son
ร้านอาหาร 1095 Garden,19.3022234,97.9794692,17:00,23:00,Mae Hong Son
ร้านอาหารไข่มุก,19.3002257,97.9660038,10:00,21:00,Mae Hong Son
ก๋วยเตี๋ยวและอาหารตามสั่งครัวเจ๊ออน,19.2977412,97.9654462,7:00,20:00,Mae Hong Son
สวนอาหาร ธารฮ่องสอน,19.3012374,97.9501316,10:00,23:00,Mae Hong Son
ลีไวน์ อาหารจีนยูนาน,19.5856386,97.9426435,8:00,20:00,Mae Hong Son
ร้านป้าหว่า,19.5853486,97.9456948,7:30,22:30,Mae Hong Son
เฮิร์นโฮม,19.2935713,97.9658488,10:00,21:00,Mae Hong Son
พอเพียงโภชนา,19.3012189,97.9710942,10:00,21:00,Mae Hong Son
ร้านจี๋หลี้,19.587747,97.9428383,8:00,21:00,Mae Hong Son
Mae Rong Son Restaurant,19.2976634,97.9684518,9:00,15:30,Mae Hong Son
Little Good Things,19.2952555,97.966714,10:00,16:00,Mae Hong Son
โจ๊กฮ่องกง,19.3000046,97.9657818,6:00,23:59,Mae Hong Son
ก๋วยเตี๋ยวป้าหอม,19.2950764,97.9635778,7:30,15:30,Mae Hong Son
ป้าข่อน ถั่วพูอุ่น ตลาดสายหยุด,19.3027693,97.9672332,7:30,10:30,Mae Hong Son
ร้านอาตี๋น้อยยูนาน บ้านรักไทย,19.5856154,97.946025,7:00,21:30,Mae Hong Son
อีสานแซ่บ at บ้านไร่ไผ่หวาน,19.3116552,97.9560946,11:00,23:00,Mae Hong Son
นาป่าแปกเรสเตอรอง,19.5301415,97.9303433,7:00,20:00,Mae Hong Son
ร้านชาจิงเหม่ย (บ้านรักไทย)แม่ฮ่องสอน,19.5852144,97.9467755,6:30,20:00,Mae Hong Son
ร้านป้าศรีบัว,19.3014478,97.9676184,7:30,16:00,Mae Hong Son
ซันแอนด์มัม,19.2894113,97.9544097,7:30,22:00,Mae Hong Son
ร้านป้าเกษร อาหารตามสั่ง,19.0281149,97.9828745,7:30,16:00,Mae Hong Son
เชฟเรย์ ในตำนาน ก๋วยเตี๋ยวเนื้อ ก๋วยเตี๋ยวหมู อาหารจานด่วน,19.3049745,97.9647811,8:00,22:00,Mae Hong Son
ร้านอาหารไทยกำแพงเพชร,19.447035,97.966675,8:00,18:00,Mae Hong Son
Fineday,19.30039,97.9675359,11:00,20:00,Mae Hong Son
ร้านข้าวเส้นยายจ่าง,19.2996834,97.9646881,15:00,17:00,Mae Hong Son
ข้าวต้มนายเพ็ญ,19.2899683,97.9604601,0:00,12:00,Mae Hong Son
ข้าวต้มนายเพ็ญ,19.2899683,97.9604601,17:00,0:00,Mae Hong Son
ครัวสะแกวัลย์,19.3916001,97.9465147,8:00,22:00,Mae Hong Son
ร้านอาหารอิสลามแม่ฮ่องสอน (Muslim food),19.3056874,97.9691105,9:00,17:00,Mae Hong Son
บ้านมะยม,19.3327545,97.9314812,10:00,19:00,Mae Hong Son
ข้าวเส้นป้าคนธ์,19.3100872,97.9612168,7:00,15:00,Mae Hong Son
White House Coffee & Garage,19.436093,97.962205,9:00,17:00,Mae Hong Son
ร้านตำนานยอง,19.285453,97.9592875,18:00,0:00,Mae Hong Son
ร้านข้าว,19.200602,97.9835546,9:00,20:00,Mae Hong Son
ร้านอาหารสายน้ำปาย,19.3005457,97.9504776,11:00,23:00,Mae Hong Son
ร้านอาหารสวนร่มฉัตร,19.2733362,97.9656177,8:30,17:00,Mae Hong Son
ร้านเย็นเย็น,19.289384,97.954163,10:00,23:00,Mae Hong Son
ร้านอาหารครัวหนานชล,19.2999511,97.9655548,10:00,21:00,Mae Hong Son
ร้านเจ๊ดาหอยทอด,19.2911791,97.9609019,8:00,19:00,Mae Hong Son
ก๋วยเตี๋ยวห้อยขาบ้านจ่าโบ่,19.5814797,98.2059468,7:00,17:00,Mae Hong Son
ล้าน อาหารตามสั่ง สไบทิพย์,19.3010354,97.9690433,8:00,20:00,Mae Hong Son
ร้านขนมจีนน้ำเงี้ยวเชียงราย Khanom Jin Nam Ngiao Chiang Rai,19.3059723,97.96459,8:30,17:00,Mae Hong Son
เจ้าสัว คาเฟ่,19.3002413,97.9848806,9:00,17:00,Mae Hong Son
ร้านอาหารเจ๊ปุ๊กข้าวหมูแดงหมูกรอบแม่ฮ่องสอน,19.2933107,97.9647722,6:00,14:00,Mae Hong Son
ธน โภชนาขุนยวม,18.8134494,97.9345721,9:00,23:00,Mae Hong Son
ข้าวมันไก่เจ๊แอ๊ว,19.2821904,97.9577991,7:00,14:00,Mae Hong Son
ยิบบาร์,19.3010832,97.9499577,17:00,23:00,Mae Hong Son
ก๋วยเตี๋ยวเมืองปอน Muang Pon Noodle,19.3056894,97.968477,9:00,17:00,Mae Hong Son
ซุ้มลูกหวาย,19.2929798,97.9616786,5:00,16:00,Mae Hong Son
ต๋องมิวสิค,19.2969633,97.9509033,9:00,17:00,Mae Hong Son
ร้านไผ่,19.312777,97.9637086,10:00,21:00,Mae Hong Son
น้องนัท อาหารตามสั่ง,19.2945669,97.9644585,10:00,21:00,Mae Hong Son
Pizza Primavera Restaurant ร้านอาหาร พิซซ่า พรีมาเวร่า,19.2953681,97.9639511,10:00,21:00,Mae Hong Son
ร้านโจ๊ก เกาเหลาเลือดหมู,19.3017558,97.9668699,5:30,13:30,Mae Hong Son
ส้มตำอุบล,19.3088969,97.9644289,9:00,17:30,Mae Hong Son
ร้านอาหารบ้านปาย,19.3596066,98.4414213,9:30,21:30,Mae Hong Son
ก๋วยจั๊บนครสวรรค์ ข้าวขาหมู หมูแดง Kuai Chap Nakhon Sawan,19.2816004,97.9577785,8:00,15:30,Mae Hong Son
ร้านขวัญข้าว,19.302056,97.964141,10:00,16:00,Mae Hong Son
ร้านลาบเชียงใหม่,19.2841485,97.9588415,8:00,20:00,Mae Hong Son
ร้านส้มตำมานีก๋วยเตียวเป็ด Somtam Ma Ni Kuai Tiao Pet,19.2835771,97.9609889,10:00,19:00,Mae Hong Son
สเต็กลุงโจ Mr.Joe’s House,19.3015456,97.9665739,10:00,22:00,Mae Hong Son
เฮินฮิมตาง แม่ฮ่องสอน,19.2708225,97.9634479,11:00,21:00,Mae Hong Son
ข้าวแกงราชบุรี แม่ฮ่องสอน,19.2950493,97.9643107,8:30,20:00,Mae Hong Son
หมูกระทะพุทโธ-byคิดเจริญ,19.2838154,97.9605225,17:00,22:00,Mae Hong Son
ตำยำ คุณนายแซ่บ,19.3055248,97.9697627,10:00,18:00,Mae Hong Son
นาเนียร์อาหารพื้นเมือง,19.2813704,97.9597064,8:00,18:00,Mae Hong Son
หยู่หลี (玉丽) แม่ฮ่องสอน,19.3029967,97.9779061,17:00,23:30,Mae Hong Son
ครัวหนานชล,19.2991533,97.9665013,11:00,21:00,Mae Hong Son
ร้านอาหารชุมชนจีนยูนนาน,19.3708347,98.4031892,6:30,20:00,Mae Hong Son
