name,lat,lon,province
บ้านกลางดอย,18.81726665,97.93282704,Mae Hong Son
บ้านพี่เรือนน้อง,18.83994116,97.94954195,Mae Hong Son
บ้านภูตะวัน,18.84621387,97.95977889,Mae Hong Son
ภูจันทร์แดง รีสอร์ท,18.84689395,97.96931836,Mae Hong Son
ยุ้น,18.82463665,97.93433755,Mae Hong Son
อิงสระไอหมอก,18.83025084,97.93513223,Mae Hong Son
อินปาราดิซุม,18.83260726,98.04647115,Mae Hong Son
เฮินไต ดาบหาญ,18.844313,97.956187,Mae Hong Son
โฮมสเตย์บ้านเมืองปอน,18.7406382,97.92637466,Mae Hong Son
บ้านพระพร@ขุนยวม,18.84546203,97.96064285,Mae Hong Son
จังเกิ้ล เกสท์เฮ้าส์,19.51528151,98.25314917,Mae Hong Son
เดอะ ร็อค การ์เด้น รีสอร์ท,19.52225555,98.24397165,Mae Hong Son
นอร์ทเทิร์นฮิลล์ เกสท์เฮ้าส์,19.51726155,98.26300916,Mae Hong Son
บ้านบนดอย,19.51608631,98.24918382,Mae Hong Son
ลิตเติ้ล อีเดน เกสต์เฮาส์ (Little Eden Guesthouse),19.51719775,98.25775796,Mae Hong Son
เลม่อนฮิลล์,19.5164214,98.25526614,Mae Hong Son
บ้านแก้วโมรา,19.51919383,98.2636175,Mae Hong Son
Bodega Pai,19.36285063,98.44104826,Mae Hong Son
Peacock De Pai Hotel,19.35570215,98.43848222,Mae Hong Son
Sleep Pai Bed & Breakfast,19.35801055,98.44669659,Mae Hong Son
ปายเมาท์เท็นบลูส์ คอทเทจ,19.36298454,98.43521034,Mae Hong Son
กาสะลองริเวอร์ลอดจ์,19.34239228,98.43917787,Mae Hong Son
Good View Pai,19.33791179,98.43276091,Mae Hong Son
ขวดคนโฑปายคอทเทจ,19.31310256,98.4526688,Mae Hong Son
คอมมอน กราวด์ ปาย,19.36065857,98.44217927,Mae Hong Son
ชาลีแฟมิลี แอนด์ โฮสเทล,19.3557479,98.43954759,Mae Hong Son
ชาลีเฮ้าส์,19.35919016,98.44133722,Mae Hong Son
ซอย วัน บูติก เบดรูมส์,19.35897676,98.44485007,Mae Hong Son
ซันชายน์ปาย รีสอร์ท,19.34958455,98.45069666,Mae Hong Son
ดาร์ลิ่งวิวพอยต์ รีสอร์ท,19.36062333,98.44918212,Mae Hong Son
ดิ เอีย รีสอร์ท (The Oia Pai),19.35311939,98.44723485,Mae Hong Son
เดอะ ควอเตอร์,19.36204024,98.43657717,Mae Hong Son
เดอะ ซันฮัท,19.35178934,98.45057622,Mae Hong Son
เดอะ ริเวอร์ออฟเลิฟแอทปาย รีสอร์ท (The River Of Love @ Pai Resort),19.36278537,98.4407187,Mae Hong Son
เดอะ ฮาร์ทออฟปาย รีสอร์ท,19.35610048,98.43894555,Mae Hong Son
ไดมอนด์ เดอ ปาย,19.35591079,98.435822,Mae Hong Son
ตาลเจ็ดต้นปายรีสอร์ท,19.39783235,98.44957767,Mae Hong Son
ทิวดอยการ์เด้น รีสอร์ท,19.33823,98.43202661,Mae Hong Son
แทมมารินเฮ้าส์,19.35542134,98.43515826,Mae Hong Son
นามู (Namu Hotel),19.35889114,98.44448356,Mae Hong Son
น้ำฮูโฮมสเตย์,19.36602642,98.42026848,Mae Hong Son
บลูเฮ้าส์,19.35890106,98.44339062,Mae Hong Son
บ้าน ณ นนท์ ปาย,19.32638854,98.43631241,Mae Hong Son
บ้านกะทิสด,19.34796826,98.45098692,Mae Hong Son
บ้านกานต์รวี,19.36328671,98.43332298,Mae Hong Son
บ้านเกิดศรี,19.35599819,98.43665025,Mae Hong Son
บ้านขนุนปาย,19.3583347,98.44312362,Mae Hong Son
บ้านโชคดีปาย รีสอร์ท,19.36335168,98.4350059,Mae Hong Son
บ้านดินสันติชล,19.37081803,98.4028338,Mae Hong Son
บ้านตะวัน,19.35590341,98.44379011,Mae Hong Son
บ้านน้ำปายรีทรีท,19.4002397,98.44907164,Mae Hong Son
บ้านน้ำฮู บังกะโล,19.36410545,98.41525325,Mae Hong Son
บ้านเนินเขาวิวปาย รีสอร์ท,19.36497092,98.45059188,Mae Hong Son
บ้านปายกลางเวียง,19.35915917,98.44087607,Mae Hong Son
บ้านปายนา ปายตา,19.3368653,98.43220371,Mae Hong Son
บ้านปายในเวียง,19.35948782,98.43971021,Mae Hong Son
บ้านพาสุข,19.30459004,98.46118704,Mae Hong Son
บ้านไม้คนเมือง,19.36652849,98.43954988,Mae Hong Son
บ้านระเบียงปาย,19.35489941,98.4478248,Mae Hong Son
บ้านสวน รีสอร์ท,19.35780955,98.444627,Mae Hong Son
บ้านสวนไวโอลินปาย,19.38790086,98.43308933,Mae Hong Son
บ้านสวนสะพานปาย,19.30414684,98.46138189,Mae Hong Son
บ้านสวนออมสินปาย,19.36286007,98.43344708,Mae Hong Son
บ้านสะลีปาย,19.38872971,98.42647299,Mae Hong Son
บ้านแสงเฮือน,19.35922663,98.44357081,Mae Hong Son
บ้านแอ่วปาย,19.36242683,98.43908979,Mae Hong Son
บุระลำปาย รีสอร์ท,19.29855511,98.46359755,Mae Hong Son
เบลล์การ์เด้น,19.35571002,98.43727399,Mae Hong Son
ปลายฟ้าบูติคเฮ้าส์,19.35775104,98.44427267,Mae Hong Son
ปวีณ์เฮ้าส์,19.35866151,98.4421397,Mae Hong Son
ปอ อา ยอ,19.3466583,98.43274679,Mae Hong Son
ปาย โยโดโด รีสอร์ท (Pai Yododo Resort),19.34605338,98.43269052,Mae Hong Son
ปาย วิลเลจ บูติค รีสอร์ท แอนด์ ฟาร์ม,19.35862556,98.44493879,Mae Hong Son
ปายจันทร์ คอทเทจแอนด์คูซีน,19.35536773,98.44669216,Mae Hong Son
ปายจันทร์ รีสอร์ท,19.36659452,98.42282442,Mae Hong Son
ปายเซเว่น,19.31386182,98.44845131,Mae Hong Son
ปายเฌอแก้ว บูติคเฮ้าส์ (Pai Cherkaew Boutique House),19.35858089,98.44351654,Mae Hong Son
ปายดูร์ซีรีสอร์ท (Pai Do Dee Resort),19.35345492,98.44896673,Mae Hong Son
ปายทะเล เกสท์เฮ้าส์,19.3425824,98.44890829,Mae Hong Son
ปายทิพย์ รีสอร์ท,19.31283353,98.45002418,Mae Hong Son
ปายปณาลี,19.34773622,98.45070566,Mae Hong Son
ปายพญา รีสอร์ท,19.33577374,98.4321644,Mae Hong Son
ปายพอเพียง เกสท์เฮ้าส์,19.34858723,98.45063793,Mae Hong Son
ปายฟลอร่า รีสอร์ท,19.3655586,98.43898036,Mae Hong Son
ปายฟอร์เรส,19.34560853,98.43265982,Mae Hong Son
ปายฟ้าเกสท์เฮาส์,19.34133927,98.43350545,Mae Hong Son
ปายภูฟ้า,19.35299582,98.44927252,Mae Hong Son
ปายราไดซ์,19.35907709,98.44865868,Mae Hong Son
ปายรีสอร์ท ปาเก่อญอ,19.36331576,98.43322711,Mae Hong Son
ปายละมุนวัลเลย์ (Pailamunvalley),19.329127,98.44234995,Mae Hong Son
ปายละเมอ,19.34825568,98.45063005,Mae Hong Son
ปายลิฟอร์เนีย,19.36260083,98.43663437,Mae Hong Son
ปายเลิฟแอนด์บ้านชนเผ่า รีสอร์ท,19.31496731,98.45945195,Mae Hong Son
ปายวิมาน รีสอร์ท,19.35734471,98.44451635,Mae Hong Son
ปายหลากสี,19.34806037,98.43413925,Mae Hong Son
ปายอินทาวน์,19.35753032,98.44052222,Mae Hong Son
ปายเอราวัณ รีสอร์ท,19.34132018,98.43155691,Mae Hong Son
ปายฮอทสปริงสปา รีสอร์ท,19.30873581,98.46191554,Mae Hong Son
ปายฮิลไซด์ รีสอร์ท,19.39094961,98.42298991,Mae Hong Son
ปายี รีสอร์ท,19.35881748,98.43932877,Mae Hong Son
พนาวิลเลจ,19.39480542,98.44776344,Mae Hong Son
พริบตา บูติครีสอร์ท,19.30149344,98.46827098,Mae Hong Son
พริ้วปาย เกสท์เฮ้าส์,19.34563953,98.45150785,Mae Hong Son
พลอยไพลิน,19.35043849,98.43549035,Mae Hong Son
พิชัยเฮ้าส์,19.35693616,98.43995693,Mae Hong Son
เพลินปาย,19.36184255,98.4495923,Mae Hong Son
ไพลินเฮ้าส์,19.36339309,98.4399264,Mae Hong Son
ภูรวิดา รีสอร์ท,19.39304266,98.44850161,Mae Hong Son
ภูริปายวิลล่า,19.38806996,98.43360433,Mae Hong Son
มอนทิส รีสอร์ท,19.36605822,98.42736511,Mae Hong Son
มาริปาย รีสอร์ท,19.34034883,98.43384058,Mae Hong Son
มิสเตอร์จันทร์ เกสท์เฮ้าส์,19.35813491,98.44338672,Mae Hong Son
เมดิโอ้ เดอ ปาย,19.35734376,98.44015223,Mae Hong Son
เมืองปาย รีสอร์ท,19.37894858,98.39242939,Mae Hong Son
แม่เย็นเฮ้าส์,19.35048279,98.45067177,Mae Hong Son
ยูนิคอนแอทปายรีสอร์ท,19.35723089,98.44255322,Mae Hong Son
โยทะกาปาย,19.35789161,98.44465563,Mae Hong Son
โยมา โฮเต็ล,19.36781259,98.43911742,Mae Hong Son
ริมปาย คอทเทจ,19.35906061,98.44452843,Mae Hong Son
รีโวลูชั่น ปาย (Revolution Pai),19.3564733,98.44432498,Mae Hong Son
เรนโบว์เฮ้าส์,19.35356868,98.44739382,Mae Hong Son
เรือนแฝด,19.36301967,98.44027811,Mae Hong Son
โรแมนซ์ อนาเธอร์ สตอรี่ อินปาย,19.38294463,98.44583082,Mae Hong Son
ลิลูปาย,19.35766919,98.44057966,Mae Hong Son
ลุงนงค์เฮ้าส์,19.34886556,98.43409734,Mae Hong Son
เลอมองต์ รีสอร์ท,19.36632707,98.4214278,Mae Hong Son
เลิฟปายโฮม,19.38721536,98.44708347,Mae Hong Son
วิมานคีรี รีสอร์ท,19.37245662,98.44703421,Mae Hong Son
วิลล่า เดอ ปาย,19.3581424,98.44553301,Mae Hong Son
สปาเอ็กโซติก,19.35081738,98.45164145,Mae Hong Son
สวัสดีปาย สปาแอนด์รีสอร์ท,19.35625172,98.44427343,Mae Hong Son
สวีทเม็มโมรีส์แอทปาย,19.33371649,98.43194176,Mae Hong Son
อโบดายา เกสท์เฮ้าส์,19.35889561,98.44227436,Mae Hong Son
อยู่ดีกินดีปาย รีสอร์ท,19.32336927,98.43604136,Mae Hong Son
ออร์ทูม บูติค รูม,19.35880545,98.44477859,Mae Hong Son
อะกาเป้ เดอ ปาย,19.38776783,98.44082566,Mae Hong Son
อ้ายปาย โฮเทล (Ai Pai Hotel),19.3612874,98.4401621,Mae Hong Son
เอ็ม พี เฮ้าส์ (MP House),19.36223146,98.43980119,Mae Hong Son
เอเวอร์กรีน เกสท์เฮ้าส์,19.35802905,98.44152051,Mae Hong Son
เอือนข้าวหอมปาย,19.36179469,98.440754,Mae Hong Son
แอทปาย รีสอร์ท,19.38873758,98.44781683,Mae Hong Son
โอเดอปาย,19.37374833,98.44602356,Mae Hong Son
ฮัทอิงปาย รีสอร์ท,19.39171911,98.41682319,Mae Hong Son
ฮิมน้ำปาย รีสอร์ท,19.29778161,98.46641951,Mae Hong Son
เฮือนเมืองปาย รีสอร์ท,19.39151427,98.42229852,Mae Hong Son
เฮือนสราญ เกสท์เฮ้าส์,19.35886958,98.44471171,Mae Hong Son
แฮปปี้อินปาย,19.35939562,98.43940519,Mae Hong Son
โฮเต็ล เด อาร์ติสต์ โรส ออฟ ปาย (Hotel Des Artists Rose of Pai),19.35916679,98.44505064,Mae Hong Son
โฮม อิน ปาย (Home Inn Pai),19.35560602,98.43545716,Mae Hong Son
ครามปาย รีสอร์ท,19.29604109,98.46586431,Mae Hong Son
งามตา,19.29966255,97.96607036,Mae Hong Son
จองคำเพลส,19.29952521,97.96942317,Mae Hong Son
จองคำวิว,19.30020487,97.96806276,Mae Hong Son
จอห์นนี่เฮ้าส์,19.29967187,97.96898681,Mae Hong Son
เจริญสุขเฮ้าส์,19.30046749,97.97167086,Mae Hong Son
ช้างไทย รีสอร์ท,19.28148622,97.95946233,Mae Hong Son
ชาสา รีสอร์ท,19.58655762,97.94233536,Mae Hong Son
ดิ อิมพีเรียล แม่ฮ่องสอน รีสอร์ท,19.28020477,97.95862525,Mae Hong Son
เดอะ พอยต์ วิลล่า,19.30714813,97.96504063,Mae Hong Son
เดอะไลค์วิว เกสท์เฮ้าส์ (The Like View Guesthouse),19.29996459,97.96766275,Mae Hong Son
ธนโชติ รีสอร์ท,19.28835523,97.96047518,Mae Hong Son
นงนุช เกสท์เฮาส์,19.58652525,97.94431727,Mae Hong Son
บ้านเคียงดอย รีสอร์ท,19.25471128,97.96965494,Mae Hong Son
บ้านพักริมชล,19.27012869,97.96530623,Mae Hong Son
บ้านภูธดล (Baan Phuthadol),19.2752529,97.96632833,Mae Hong Son
