ATT_ID,ATT_NAME_TH,ATT_NAME_EN,ATT_DETAIL_TH,ATT_TEL,ATT_EMAIL,ATT_START_END,ATT_LOCATION,ATT_WEBSITE,ATT_FACEBOOK,ATT_INSTAGRAM,ATT_TIKTOK,PROVINCE_NAME_TH,DISTRICT_NAME_TH,SUBDISTRICT_NAME_TH,ATT_CATEGORY_LABEL,ATT_TYPE_LABEL
1,หมู่บ้านแม่กำปอง,Mae Kampong Village,"<p><span style=""font-size:16px""><span style=""background-color:transparent"">บ้านแม่กำปอง เป็นหมู่บ้านเล็ก ๆ ที่ซ่อนตัวอยู่กลางขุนเขาในอำเภอแม่ออน จังหวัดเชียงใหม่ ห่างจากตัวเมืองเพียงราว 50 กิโลเมตร ที่นี่คือชุมชนเก่าแก่ที่มีอายุกว่า 100 ปี เติบโตจากการทำไร่เมี่ยง (ใบชาโบราณ) ซึ่งเป็นพืชเศรษฐกิจพื้นถิ่น ผสานกับการดำรงชีวิตเรียบง่ายแบบชาวเหนือที่ยังคงรักษาเอกลักษณ์ดั้งเดิมไว้ได้อย่างงดงาม หมู่บ้านตั้งอยู่บนความสูงราว 1,300 เมตรจากระดับน้ำทะเล ทำให้อากาศเย็นสบายตลอดทั้งปี โอบล้อมด้วยผืนป่าธรรมชาติ น้ำตกสายเล็ก ๆ ไหลผ่านกลางหมู่บ้าน เสียงนกร้องคลอไปกับเสียงลำธารสร้างบรรยากาศสงบสุข เหมาะอย่างยิ่งสำหรับผู้ที่ต้องการหนีจากความวุ่นวาย มาสัมผัสวิถีชีวิตอันเนิบช้าแบบ &ldquo;Slow Life&rdquo; แท้จริง ความพิเศษของแม่กำปอง ไม่ได้อยู่ที่ความงดงามของธรรมชาติเท่านั้น แต่ยังรวมถึงหัวใจของชุมชนที่เข้มแข็ง ชาวบ้านรวมกลุ่มกันพัฒนาเป็นวิสาหกิจชุมชนด้านการท่องเที่ยว โดยเปิดบ้านเป็นโฮมสเตย์ให้บริการนักท่องเที่ยว พร้อมถ่ายทอดองค์ความรู้เกี่ยวกับวิถีชีวิต การปลูกชา กาแฟ และอาหารพื้นเมืองด้วยความภาคภูมิใจ</span></span></p>
",095 324 9501 ,,เปิดทุกวัน,"18.8655073, 99.35098459999999",,,,,เชียงใหม่,แม่ออน,ห้วยแก้ว,แหล่งท่องเที่ยวทางธรรมชาติ,วิถีชีวิตความเป็นอยู่ (ชุมชน)
2,สัปปายยะ สปา,Sapaiya Spa,"<p style=""margin-left:36pt""><span style=""font-size:16px""><span style=""color:#000000""><span style=""background-color:transparent"">โอเอซิสแห่งการบำบัดและการพักผ่อนที่โอบล้อมด้วยธรรมชาติอันเงียบสงบของเมืองปาย จังหวัดแม่ฮ่องสอน ที่นี่ไม่ใช่เพียงสปาทั่วไป แต่เป็นสถานที่ที่ผสานศาสตร์การบำบัดแบบไทยดั้งเดิมเข้ากับแนวคิดสุขภาวะองค์รวม เพื่อฟื้นฟูทั้งร่างกาย จิตใจ และจิตวิญญาณอย่างลึกซึ้งบรรยากาศภายในสปาได้รับการออกแบบให้เรียบง่าย โปร่งโล่ง และกลมกลืนไปกับธรรมชาติ ใช้โทนสีและวัสดุธรรมชาติเพื่อสร้างความรู้สึกผ่อนคลายและเป็นส่วนตัว พื้นที่ทั้งหมดสะท้อนแนวคิด &ldquo;สัปปายะ&rdquo; ซึ่งหมายถึงความรื่นรมย์ที่เอื้อต่อการพัฒนากายและใจที่นี่คือการให้ความสำคัญกับชุมชน โดยสปาสนับสนุนเกษตรกรรมอินทรีย์ในท้องถิ่น นำแนวคิด &ldquo;เศรษฐกิจพอเพียง&rdquo; มาใช้ทั้งในกระบวนการดูแลลูกค้าและการบริหารจัดการภายใน ด้วยการบริการที่ประณีต ใส่ใจในทุกรายละเอียด สัปปายยะ สปา จึงเป็นมากกว่าการพักผ่อน แต่คือประสบการณ์แห่งการเยียวยาใจที่แท้จริงสำหรับผู้ที่แสวงหาความสงบงามจากภายในสู่ภายนอกในอ้อมกอดของขุนเขาเมืองปาย</span></span></span></p>

<div>&nbsp;</div>
",081 236 6644 ,sapaiyaspa@gmail.com ,"ทุกวัน 10.00 - 21.00 น.
","19.3523575, 98.44219149999999",https://sapaiya.com/th/sapaiya-spa/ ,https://www.facebook.com/sapaiyaspa ,,,แม่ฮ่องสอน,ปาย,เวียงใต้,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
3,ศูนย์สถาปัตยกรรมล้านนา คุ้มเจ้าบุรีรัตน์ มหาอินทร์,Lanna Architecture Center Khum Chao Burirat (Maha Intra) or KHUM MUSEUM,"<p><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">คุ้มเจ้าบุรีรัตน์ (มหาอินทร์) คือหนึ่งในเรือนไม้ทรงคุณค่า ที่วันนี้ได้กลายมาเป็น ศูนย์สถาปัตยกรรมล้านนา ภายใต้การดูแลของคณะสถาปัตยกรรมศาสตร์ มหาวิทยาลัยเชียงใหม่ สถานที่แห่งนี้ไม่ได้เป็นเพียงแค่พิพิธภัณฑ์ แต่ยังเป็นพื้นที่แห่งการเรียนรู้และถ่ายทอดภูมิปัญญาท้องถิ่น เพื่อรักษามรดกทางวัฒนธรรมล้านนาให้คงอยู่กับผู้คนรุ่นใหม่ผ่านการจัดแสดงนิทรรศการ งานวิจัย และการจัดกิจกรรมเชิงสร้างสรรค์ คุ้มแห่งนี้เป็นจุดเชื่อมโยงระหว่าง อดีต ปัจจุบัน และอนาคต ที่ทำให้ความงดงามของสถาปัตยกรรมดั้งเดิมยังคงหายใจได้ ศูนย์ฯ แห่งนี้มุ่งเน้นการอนุรักษ์ องค์ความรู้ด้านสถาปัตยกรรมล้านนา และส่งต่อสู่ชุมชน ผ่านรูปแบบที่เข้าถึงง่าย และเปิดพื้นที่ให้เยาวชน นักศึกษา และประชาชนทั่วไป ได้มีส่วนร่วมในการเรียนรู้และต่อยอดภูมิปัญญาในบริบทใหม่ๆ เพื่อสืบสาน &ldquo;ความยั่งยืนทางวัฒนธรรม&rdquo; ให้คงอยู่ต่อไป</span></span></span></p>

<div>&nbsp;</div>
",0 5327 7855," 	khum.museum@gmail.com","วันอังคาร - วันอาทิตย์ 
เวลา 09:00 - 12:00 น. และ 13:00 - 16:00 น. (ปิดวันจันทร์)
","18.7879488, 98.98830199999999",http://www.lanna-arch.net,https://www.facebook.com/SunySthapatykrrmLanNa,,,เชียงใหม่,เมืองเชียงใหม่,พระสิงห์,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศูนย์การเรียนรู้ฯ (เกี่ยวกับกิจกรรม ผลิตภัณฑ์ และภูมิปัญญาในท้องถิ่น)
4,เล็ทส์ รีแลกซ์ วัน นิมมาน เชียงใหม่,Let's Relax One Nimman Chiang Mai,"<p><span style=""font-size:16px""><span style=""background-color:transparent"">Let&rsquo;s Relax สาขาของห้าง One Nimman ผสมผสานวัฒนธรรมเมืองเชียงใหม่กับไลฟ์สไตล์ของคนเมืองอย่างลงตัว ตั้งอยู่ใจกลางย่านถนนนิมมาน ซึ่งเป็นย่านคาเฟ่และร้านอาหารสุดฮิตของจังหวัดเชียงใหม่ สาขานี้โดดเด่นด้วยการตกแต่งที่ใช้วัสดุอิฐแดงตามการตกแต่งหลักของห้างวัน นิมมาน โดยเลือกใช้สีสันสดใสเพื่อสร้างบรรยากาศที่หลากหลาย แต่ยังคงความอบอุ่นและความผ่อนคลายได้อย่างสมบูรณ์แบบ ด้วยความเชี่ยวชาญในอุตสาหกรรมสปามากว่า 21 ปี Let&rsquo;s Relax Spa มุ่งมั่นให้บริการนวดและทำสปาที่เปี่ยมไปด้วยความใส่ใจในทุกรายละเอียด เพื่อมอบประสบการณ์การผ่อนคลายอย่างมีระดับให้แก่ลูกค้าทุกคน นอกจากนี้ เรายังให้ความสำคัญกับความยั่งยืน โดยการเลือกใช้ผลิตภัณฑ์ที่เป็นมิตรกับสิ่งแวดล้อมและสนับสนุนการใช้วัตถุดิบจากชุมชนท้องถิ่น เพื่อร่วมอนุรักษ์สิ่งแวดล้อมและสร้างประสบการณ์ที่ดีให้กับลูกค้าและโลกใบนี้</span></span></p>

<div>&nbsp;</div>
",0 5208 0918,sparsvn@letsrelaxspa.com,Open daily from 10:00 AM to 12:00 AM.,"18.799337, 98.967331",letsrelaxspa.com   ," 	https://www.facebook.com/letsrelaxspa.official",,,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
5,ดิ โอเอซิสสปา ลานนา,Oasis Spa Lanna,"<p><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">โอเอซิสสปาลานนา สปาที่มีการผสมผสานสไตล์การตกแต่งแบบล้านนา ภายใต้แนวคิด &quot;สปาอัตลักษณ์ล้านนา&quot; พร้อมด้วยบรรยากาศที่ร่มรื่น วิลล่าส่วนตัว ใกล้วัดพระสิงห์ และถนนคนเดินวันอาทิตย์ การออกแบบและบรรยากาศล้านนา อาคารและสวนถูกออกแบบในสไตล์ล้านนาแท้ ผสมผสานสถาปัตยกรรมไม้ไทยกับธรรมชาติได้อย่างกลมกลืน ตั้งอยู่ใจกลางเมืองเชียงใหม่ แต่มีความเงียบสงบ ร่มรื่น เสมือนอยู่กลางขุนเขา&nbsp; ใช้ผลิตภัณฑ์จากธรรมชาติ ปราศจากสารเคมีส่งเสริมการใช้วัตถุดิบจากชุมชนท้องถิ่น&nbsp; สัมผัสประสบการณ์ทรีตเมนต์แบบผสมผสานศาสตร์ตะวันออกและตะวันตก ใช้เทคนิคล้านนาและอายุรเวท รวมถึงศาสตร์บำบัดกล้ามเนื้อที่ทันสมัย&nbsp; The Oasis Spa Lanna ไม่ใช่แค่สปา แต่คือการบำบัดทั้งกายและใจ ด้วยรากฐานวัฒนธรรมล้านนาและหัวใจของความยั่งยืน</span></span></span></p>
",0 5392 0111,res@oasisspa.net.,ทุกวัน 10.00 - 22.00 น,"18.7872785, 98.9823119",https://oasisspa.net/en/,https://www.facebook.com/OSLannaWatPrasing ,,,เชียงใหม่,เมืองเชียงใหม่,พระสิงห์,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
6,ลีลานวดไท ท่าแพ,Lila Thai Massage Tha Phae,"<h2 style=""text-align:justify""><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">ลีลานวดไท&nbsp; ไม่ใช่แค่ร้านนวด แต่คือ &ldquo;พื้นที่แห่งโอกาส&rdquo;</span><span style=""background-color:transparent"">รวมพลังของหญิงแกร่ง พลิกชีวิตด้วยสองมือ และศิลปะการนวดแบบไทยอย่างแท้จริง ที่นี่...ลูกค้าจะไม่ได้รับแค่การนวดเพื่อผ่อนคลาย</span><span style=""background-color:transparent"">แต่จะสัมผัสได้ถึง เรื่องราวของหัวใจที่ไม่ยอมแพ้ จากผู้หญิงที่เคยถูกตีตรา กลับลุกขึ้นมาเปลี่ยนอดีตให้กลายเป็นพลังด้วยความสามารถ ความตั้งใจ และศิลปะการนวดที่ฝึกฝนมาอย่างเข้มข้น&nbsp; จากโอกาสเล็ก ๆ สู่การยอมรับระดับนานาชาติ&nbsp; โดยประกาศตัวอย่างชัดเจนว่าเป็น</span><span style=""background-color:transparent"">&ldquo;ศูนย์พัฒนาทักษะและฝึกอาชีพผู้พ้นโทษ (Ex-Inmate Employment and Skill Development Center)&rdquo;เปิดรับลูกค้าทุกคนด้วยความจริงใจ และความสามารถที่พิสูจน์ได้ อีกทั้งรางวัลมากมายที่การันตีความสำเร็จและมาตรฐานของที่นี่ ทุกคนที่ก้าวเข้ามา ไม่ว่าจะเป็นผู้ให้บริการหรือผู้ใช้บริการคือส่วนหนึ่งของการเปลี่ยนแปลงที่งดงาม และสร้างความยั่งยืน</span></span></span></h2>
",0 5328 0998,lilathaioffice@gmail.com,ทุกวันเวลา 10.00 - 22.00 น.,"18.7877555, 98.9924697",http://www.chiangmaithaimassage.com,https://www.facebook.com/LilathaimassageChiangmai,,,เชียงใหม่,เมืองเชียงใหม่,พระสิงห์,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
7,ลีลานวดไท เจดีย์หลวง,Lila Thai Massage Chedi Luang,"<p><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">ลีลานวดไท&nbsp; ไม่ใช่แค่ร้านนวด แต่คือ &ldquo;พื้นที่แห่งโอกาส&rdquo;</span><br />
<span style=""background-color:transparent"">ที่รวมพลังของหญิงแกร่ง พลิกชีวิตด้วยสองมือ และศิลปะการนวดแบบไทยอย่างแท้จริง ที่นี่...ลูกค้าจะไม่ได้รับแค่การนวดเพื่อผ่อนคลาย</span><span style=""background-color:transparent"">แต่จะสัมผัสได้ถึง เรื่องราวของหัวใจที่ไม่ยอมแพ้ จากผู้หญิงที่เคยถูกตีตรา กลับลุกขึ้นมาเปลี่ยนอดีตให้กลายเป็นพลังด้วยความสามารถ ความตั้งใจ และศิลปะการนวดที่ฝึกฝนมาอย่างเข้มข้น&nbsp; จากโอกาสเล็ก ๆ สู่การยอมรับระดับนานาชาติ&nbsp; โดยประกาศตัวอย่างชัดเจนว่าเป็น &ldquo;ศูนย์พัฒนาทักษะและฝึกอาชีพผู้พ้นโทษ (Ex-Inmate Employment and Skill Development Center)&rdquo;เปิดรับลูกค้าทุกคนด้วยความจริงใจ และความสามารถที่พิสูจน์ได้ อีกทั้งรางวัลมากมายที่การันตีความสำเร็จและมาตรฐานของที่นี่ ทุกคนที่ก้าวเข้ามา ไม่ว่าจะเป็นผู้ให้บริการหรือผู้ใช้บริการคือส่วนหนึ่งของการเปลี่ยนแปลงที่งดงาม และสร้างความยั่งยืน</span></span></span></p>

<div>&nbsp;</div>
",0 5327 9403 ,,ทุกวันเวลา 10.00 - 22.00 น.,"18.7874416, 98.9881324",http://www.lilathaimassage.com ,https://www.facebook.com/LilathaimassageChiangmai,,,เชียงใหม่,เมืองเชียงใหม่,พระสิงห์,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
8,โอเอซิสสปา แอท นิมมาน,Oasis Spa Nimman,"<p style=""text-align:justify""><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">โอเอซิสสปา แอท นิมมาน ตั้งอยู่ใจกลางเมืองเชียงใหม่ บนถนนสุดชิค &quot;นิมมานเหมินทร์&quot; ถือได้ว่าเป็นสปารูปแบบใหม่ของโอเอซิสสปาที่โดดเด่นไม่ซ้ำใคร ด้วยการตกแต่งสไตล์ยุโรป และโทนสีแดง-ดำ มีห้องสปาทรีทเมนต์ภายในที่หรูหรา จำนวน 8 ห้อง มีอ่างอาบน้ำ ห้องอบสมุนไพรไทย และห้องอาบน้ำแบบส่วนตัว รวมถึงมีบริการรถรับส่งฟรีในเมืองเชียงใหม่ ได้รับรางวัลและเกียรติคุณมากมาย เช่น รางวัลความเป็นเลิศในหมวดเดย์สปาจากการท่องเที่ยวแห่งประเทศไทย เดย์สปาแห่งปี จากนิตยสาร AsiaSpa และอื่น ๆ&nbsp; โอเอซิสสปาได้ประกาศความมุ่งมั่นใหม่ด้านความเป็นเลิศด้วยแนวคิด &ldquo;โอเอซิสสปารักคุณ&rdquo; โอเอซิสสปาไม่เพียงแต่มอบโอกาสให้ลูกค้าและพนักงานได้ใช้ชีวิตและทำงานอย่างมีความสุขเท่านั้น แต่ยังมีส่วนสนับสนุนชุมชนท้องถิ่นด้วยการอนุรักษ์สิ่งแวดล้อม ปฏิบัติตามหลักจริยธรรม ช่วยเหลือวิสาหกิจขนาดเล็ก และมีส่วนสนับสนุนสังคมอื่น ๆ อีกด้วย</span></span></span></p>
",0 5392 0111,res@oasisspa.net,ทุกวัน เวลา 10.00 - 24.00 น.,"18.7982572, 98.9682141",www.oasisspa.net  ,https://www.facebook.com/OSAtNimman,,,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
9,ระรินจินดา เวลเนส สปา รีสอร์ท เชียงใหม่,RarinJinda Wellness Spa Resort,"<p><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">รีสอร์ทเพื่อสุขภาพระดับ 5 ดาว ตั้งอยู่ริมแม่น้ำปิงในเมืองเชียงใหม่บรรยากาศเงียบสงบแต่สะดวกสบาย คุณจะได้สัมผัสความผ่อนคลายที่หรูหราและใกล้ชิดธรรมชาติ ที่นี่คือการผสมผสานระหว่างความงามของสถาปัตยกรรมสมัยใหม่ที่ยังคงกลิ่นอายของสไตล์ทางเหนือสไตล์ล้านนา&nbsp; ได้รับมาตรฐาน SHA Plus&nbsp; ห้องพักมีตั้งแต่ห้องดีลักซ์สไตล์โมเดิร์นที่มาพร้อมวิวแม่น้ำปิง ไปจนถึงห้องสวีทและวิลล่าพร้อมระเบียงส่วนตัวที่ให้ความรู้สึกเป็นส่วนตัวและผ่อนคลาย มองเห็นทิวทัศน์ของดอยสุเทพและแม่น้ำปิง พร้อมสิ่งอำนวยความสะดวกครบครัน ไม่ว่าจะเป็น สปาครบวงจร ห้องฟิตเนสและโยคะ สระว่ายน้ำกลางแจ้ง และห้องอาหารริมน้ำปิง หากคุณกำลังมองหาสถานที่พักผ่อนที่ผสมผสานความหรูหราและความเป็นธรรมชาติ ระรินจินดา เวลเนส สปา รีสอร์ท คือคำตอบที่สมบูรณ์แบบ</span></span></span></p>
",0 5330 3030,rsvn@rarinjinda.com,"Check-in time: 2:00 PM
Check-out time: 12:00 PM
","18.7898564, 99.00440739999999",rarinjinda.com," 	https://www.facebook.com/rarinjinda.official",,,เชียงใหม่,เมืองเชียงใหม่,ช้างม่อย,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
10,ศิรา สปา,Zira Spa,"<p><span style=""color:#000000""><span style=""font-size:16px""><span style=""background-color:transparent"">ศิรา สปา ถ่ายทอดเสน่ห์ของยุคล้านนาตอนปลาย ผสมผสานภูมิปัญญาล้านนาดั้งเดิมเข้ากับวัฒนธรรมสยาม จนเกิดเป็นสถาปัตยกรรมสไตล์ล้านนาโคโลเนียลอันเป็นเอกลักษณ์ สปาแห่งนี้ได้รับการพัฒนาอย่างต่อเนื่องผ่านงานวิจัยจนกลายเป็นต้นแบบของสถานประกอบการสปาเพื่อสุขภาพ โดยนำศาสตร์ภูมิปัญญาไทยมาใช้ และยังได้รับมาตรฐานสปาเพื่อสุขภาพ พร้อมมุ่งสู่การเป็นสถานที่ท่องเที่ยวคาร์บอนสุทธิเป็นศูนย์ บริการของศิรา สปาได้รับการออกแบบมาเพื่อให้คุณได้สัมผัสมิติแห่งการผ่อนคลายครบทุกประสาทสัมผัส ทั้ง รูป รส กลิ่น เสียง และสัมผัส ผ่านผลิตภัณฑ์สมุนไพรที่คัดสรรอย่างพิถีพิถัน ผสานเข้ากับบรรยากาศอันเงียบสงบและหรูหราแบบล้านนาแท้</span></span></span></p>
",0 5322 2288,zira.secret@gmail.com,ทุกวันตั้งแต่ 10.00 - 22.00 น.,"18.790507, 98.99286599999999",https://www.ziraspa.com,https://www.facebook.com/ziraspa ,,,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สุขภาพและความงาม
